sequence_id,scene_family,level,geometry_seed,sensor_seed,process_seed,final_translation_error,final_axis_error,final_cross_error,mean_axis_error,mean_cross_error,axis_drift_rate,trajectory_path,motion_path
ST-L3-G02,ST,L3,202,11,1005,0.011808235165563293,0.011399247012032987,0.003080841651870892,0.014962189944875814,0.0016357072941658142,0.00037997490040109954,results/metric_redesign_stage1/trajectories/ST-L3-G02/sensor_011/process_1005.tum,results/metric_redesign_stage1/motion/ST-L3-G02/sensor_011/process_1005.npz
ST-L3-G02,ST,L3,202,22,1001,0.030146430410828234,0.029885270156817967,0.003959532064387749,0.01501024413525918,0.001717455499544375,0.0009961756718939322,results/metric_redesign_stage1/trajectories/ST-L3-G02/sensor_022/process_1001.tum,results/metric_redesign_stage1/motion/ST-L3-G02/sensor_022/process_1001.npz
ST-L3-G02,ST,L3,202,22,1002,0.030166112031483255,0.029904956158308238,0.003960796923052377,0.015012265184700214,0.0017174786539581586,0.000996831871943608,results/metric_redesign_stage1/trajectories/ST-L3-G02/sensor_022/process_1002.tum,results/metric_redesign_stage1/motion/ST-L3-G02/sensor_022/process_1002.npz
ST-L3-G02,ST,L3,202,22,1003,0.030164786330695283,0.029903636214694274,0.003960666044458434,0.015011523896514507,0.0017174666327002457,0.0009967878738231424,results/metric_redesign_stage1/trajectories/ST-L3-G02/sensor_022/process_1003.tum,results/metric_redesign_stage1/motion/ST-L3-G02/sensor_022/process_1003.npz
ST-L3-G02,ST,L3,202,22,1004,0.03013541777901506,0.029874160997838572,0.003959533986594585,0.01500999734577478,0.0017174469618061318,0.000995805366594619,results/metric_redesign_stage1/trajectories/ST-L3-G02/sensor_022/process_1004.tum,results/metric_redesign_stage1/motion/ST-L3-G02/sensor_022/process_1004.npz
ST-L3-G02,ST,L3,202,22,1005,0.03014095245296891,0.029879744920670248,0.003959527528356526,0.015012934269952734,0.0017174689986262741,0.0009959914973556748,results/metric_redesign_stage1/trajectories/ST-L3-G02/sensor_022/process_1005.tum,results/metric_redesign_stage1/motion/ST-L3-G02/sensor_022/process_1005.npz
ST-L3-G03,ST,L3,303,11,1001,0.013304798160062836,0.012961135804278712,0.003004432183134752,0.01509998657610859,0.0015880048526175862,0.00043203786014262365,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_011/process_1001.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_011/process_1001.npz
ST-L3-G03,ST,L3,303,11,1002,0.013286212997316178,0.012941822543378834,0.0030054425740221264,0.015100260471583088,0.0015879855388761213,0.0004313940847792944,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_011/process_1002.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_011/process_1002.npz
ST-L3-G03,ST,L3,303,11,1003,0.013284259490223944,0.012939848309713398,0.003005307958464867,0.015101366028314878,0.0015879391534070286,0.00043132827699044656,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_011/process_1003.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_011/process_1003.npz
ST-L3-G03,ST,L3,303,11,1004,0.013287410799447119,0.012943310859906632,0.003004328500195509,0.015099314471509827,0.0015879268063501892,0.000431443695330221,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_011/process_1004.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_011/process_1004.npz
