sequence_id,sensor_seed,window_start,window_end,overlapping,process_trial_count,axis_drift_rate_median,ODI_trans_median,lambda_min_trans_normalized_median
OC-L0-G01,11,0,10,False,5,0.00023676974942873536,0.05857070544575915,128.56422677651545
OC-L0-G01,11,10,20,False,5,0.00023185857209684867,0.06712372480414563,123.18506500133059
OC-L0-G01,11,20,30,False,5,0.00013620959318814805,0.07004145413651641,121.23115534947388
OC-L0-G01,11,30,40,False,5,0.00013966048468466488,0.05741947210498899,128.34073549290844
OC-L0-G01,11,40,50,False,5,4.545670888247952e-05,0.06892415824397546,121.44677814390684
OC-L0-G01,11,50,59,False,5,0.0003816139201036938,0.06590635361410635,123.41666873434622
OC-L0-G01,22,0,10,False,5,0.0002566874152249686,0.0616796115234064,125.87730804675367
OC-L0-G01,22,10,20,False,5,0.0002772036374260196,0.0634767229962474,125.06323537931435
OC-L0-G01,22,20,30,False,5,0.00014926719518286552,0.07038108487093764,120.25564503198578
OC-L0-G01,22,30,40,False,5,0.00013438745677823958,0.06047637915940429,126.8460823981816
OC-L0-G01,22,40,50,False,5,0.00019285720980297136,0.06967650084053556,121.00500188717184
OC-L0-G01,22,50,59,False,5,2.8586272656728447e-05,0.06335621506385625,124.93836991008142
OC-L0-G02,11,0,10,False,5,2.6616848589896662e-05,0.0718797172053105,119.30875728911518
OC-L0-G02,11,10,20,False,5,0.0003378327524653702,0.05466719508172213,129.70066890739338
OC-L0-G02,11,20,30,False,5,4.006956753894453e-05,0.049685782043985105,134.49787152091875
OC-L0-G02,11,30,40,False,5,0.00021068478000062075,0.07426908985917668,117.34933483029772
OC-L0-G02,11,40,50,False,5,3.02356664091347e-06,0.0522827303724811,132.40600967837577
OC-L0-G02,11,50,59,False,5,6.400387425690777e-05,0.05756646032012369,129.22957291347274
OC-L0-G02,22,0,10,False,5,1.1213273345847684e-05,0.07196988527945969,119.70135399611142
OC-L0-G02,22,10,20,False,5,0.00020161685431482055,0.056815962587649205,129.2971640708807
OC-L0-G02,22,20,30,False,5,6.288009052801973e-05,0.053714636431004825,131.13295621516687
OC-L0-G02,22,30,40,False,5,4.139483614418699e-06,0.07442145307168335,118.52230509210209
OC-L0-G02,22,40,50,False,5,0.00010264580102204983,0.06024513396529185,127.44669845446776
OC-L0-G02,22,50,59,False,5,0.00010890914514171051,0.05777055672993203,128.69511950130328
OC-L0-G03,11,0,10,False,5,0.0004969165362456333,0.05575284904866318,130.19578902154015
OC-L0-G03,11,10,20,False,5,0.00038808267061506515,0.06285829298847911,125.09992525051193
