schema_version,statistic_name,sweep,matched_positive_count,matched_negative_count,true_positive_count,false_positive_count,true_positive_rate,matched_clean_false_positive_rate,threshold,operator,analysis_population,correction_version
stage2_failure_day13_analysis_correction_v2,huber_cusum_max,geometry,1600,1600,234,147,0.14625,0.091875,13.745952939169019,>,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,v2
stage2_failure_day13_analysis_correction_v2,huber_cusum_max,observation,1600,1600,357,126,0.223125,0.07875,13.745952939169019,>,evaluation_one_to_one_matched_clean_vs_coherent_active_v2,v2
