sweep,median_axis_rmse_reduction,paired_mean_axis_rmse_reduction,bootstrap_ci_low,bootstrap_ci_high,positive_improvement_geometry_ratio,strong_translation_rmse_increase,orientation_rmse_rad_increase,trajectory_rmse_3d_increase,selective_vs_global_axis_advantage,selective_vs_global_strong_advantage
geometry,-0.008207660814683328,-0.010372580897627959,-0.009729612464012025,-0.00719876901748457,0.0,0.00026860565705632384,6.026917816998378e-05,0.008053033180752737,-0.016365445490445506,0.008064443404178053
observation,-0.015201212805543913,-0.018485416638129425,-0.01869712063459472,-0.011592543662331638,0.0,-8.719945188166403e-07,0.00020463004084730668,0.013687838028192897,-0.019699805548825597,0.009135883417538251
