backend,backend_schema_name,condition,geometry_seed,planned_trial_id,rotation_update_rad,scene_variant,snapshot_id,translation_update_m
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.00024000244698227458,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE,0.0008738429644161413
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1957656152,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.000193026628312809,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE,0.0006396775778417788
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1334931069,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.00010168523277166348,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE,0.00111681403164967
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/LONG_CORRIDOR/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0006167467858839479,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g0/INDEPENDENT_NOISE_FREE,0.11010281017453698
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1957656152,phase-b-signal-v1/LONG_CORRIDOR/g1/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.000341630617253554,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g1/INDEPENDENT_NOISE_FREE,0.007053587838090824
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1334931069,phase-b-signal-v1/LONG_CORRIDOR/g2/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0005240354820420987,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g2/INDEPENDENT_NOISE_FREE,0.04675783280602162
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/PARALLEL_WALLS/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0008609009313880462,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g0/INDEPENDENT_NOISE_FREE,0.0009813952008182192
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1957656152,phase-b-signal-v1/PARALLEL_WALLS/g1/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0003204929028987339,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g1/INDEPENDENT_NOISE_FREE,0.00039503408714656985
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1334931069,phase-b-signal-v1/PARALLEL_WALLS/g2/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0005567278372671111,PARALLEL_WALLS,phase-b-signal-v1/PARALLEL_WALLS/g2/INDEPENDENT_NOISE_FREE,0.19062966152601227
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0002954146859305417,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g0/INDEPENDENT_NOISE_FREE,0.0011925015642517676
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1957656152,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g1/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.00011617157154309663,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g1/INDEPENDENT_NOISE_FREE,0.00043995081349147306
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1334931069,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g2/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0011658743182375979,END_FACE_TRANSITION_PRESENT,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g2/INDEPENDENT_NOISE_FREE,0.0009608817304926227
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.00046641438284075005,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g0/INDEPENDENT_NOISE_FREE,0.002780062375522008
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1957656152,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g1/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0013699991063021004,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g1/INDEPENDENT_NOISE_FREE,0.00760983681119527
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1334931069,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g2/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0013053107201736287,END_FACE_TRANSITION_WEAK,phase-b-signal-v1/END_FACE_TRANSITION_WEAK/g2/INDEPENDENT_NOISE_FREE,0.0033043205287298038
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0002622149717494809,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g0/INDEPENDENT_NOISE_FREE,0.018615310326300864
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1957656152,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g1/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0011468769013499268,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g1/INDEPENDENT_NOISE_FREE,0.11191654395713936
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1334931069,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g2/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.002255581453726299,END_FACE_TRANSITION_ABSENT,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g2/INDEPENDENT_NOISE_FREE,0.15420133417485107
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/REPEATED_STRUCTURE/g0/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0002874876920823181,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g0/INDEPENDENT_NOISE_FREE,0.009984179523622913
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1957656152,phase-b-signal-v1/REPEATED_STRUCTURE/g1/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,0.0005606275760694035,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g1/INDEPENDENT_NOISE_FREE,0.012519638757494908
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,1334931069,phase-b-signal-v1/REPEATED_STRUCTURE/g2/INDEPENDENT_NOISE_FREE/open3d_point_to_plane,2.9437644942370576e-05,REPEATED_STRUCTURE,phase-b-signal-v1/REPEATED_STRUCTURE/g2/INDEPENDENT_NOISE_FREE,0.012397932069950487
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,0.0002403466789621882,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g0/INDEPENDENT_NOISE_FREE,0.0008878159128543235
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,1957656152,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,0.0001941399778872906,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g1/INDEPENDENT_NOISE_FREE,0.0006390260886632767
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,1334931069,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,9.941547841883583e-05,GEOMETRY_RICH_ROOM,phase-b-signal-v1/GEOMETRY_RICH_ROOM/g2/INDEPENDENT_NOISE_FREE,0.0011151226986853555
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,1850310744,phase-b-signal-v1/LONG_CORRIDOR/g0/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,0.0006320437861669865,LONG_CORRIDOR,phase-b-signal-v1/LONG_CORRIDOR/g0/INDEPENDENT_NOISE_FREE,0.09918486396669692
