backend,backend_schema_name,condition,failure_classification,finite_output,geometry_seed,planned_trial_id,reference_pose_checksum,rotation_update_rad,runtime_ms,scene_variant,snapshot_checksum,snapshot_id,solver_failure,source_checksum,target_checksum,translation_update_m
PCL,pcl_point_to_plane,FULL_NOISE,NONE,True,1850310744,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g0/FULL_NOISE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.0002393623481558166,1447.5118169939378,END_FACE_TRANSITION_ABSENT,23a3a3cd23c01b3db90e369a5d30c2be36c94a67d7d2ed376acf47982b896d94,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g0/FULL_NOISE,False,b0e7d9cbf101898cf56cd41b4476d41eda95ce121f0cfe549272cbfc06522b77,38718e98f83ca2fa2f1295fc8d3e04d5beb5da5b7fd63ddf969f67670780695e,0.10343813928851307
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,NONE,True,1850310744,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g0/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.000260283733087197,841.1592970078345,END_FACE_TRANSITION_ABSENT,55e17947bdc5cdf9b048a52ab198fe4affce0c785b9b403b55b90b1054f23fb0,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g0/INDEPENDENT_NOISE_FREE,False,aa5e2940715899028530d2f87d0e38081a362db53d3d16784129d88456e1db21,6a2a19a45c2defb96b4f7170fdc7db959cac5be61d234fffac18f18520800e83,0.0193226116065513
PCL,pcl_point_to_plane,FULL_NOISE,NONE,True,1957656152,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g1/FULL_NOISE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.0011304304777421106,1504.3027989886468,END_FACE_TRANSITION_ABSENT,806c1216f762feacb4c644f8233b6da6709dd18b52f5fa7e34e8c1d0dd97b7f9,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g1/FULL_NOISE,False,8ddea669cb424d3a0bcb8de5ccc214475aeb7060831fbe0013b877c1157ff63d,55581201c4c759862f16a728924fd5d65ffe44f42cdf3aec56e6a91c9ef0d7eb,0.1194307950440422
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,NONE,True,1957656152,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g1/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.0011513389765654336,980.5712119996315,END_FACE_TRANSITION_ABSENT,cd8f88643a684b548b0d0d54ad3ec084daca70544c1c66cf86b5e4e195851728,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g1/INDEPENDENT_NOISE_FREE,False,faa861bd8bd302d0202f27aca719a4f5dea7033c3b9e0124aa72403c73e65efc,7d80d183d53d45ac25984f64073aeda29eb9efa166d28e66c68dd31602d6b093,0.1104622021013732
PCL,pcl_point_to_plane,FULL_NOISE,NONE,True,1334931069,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g2/FULL_NOISE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.0012716690786871159,3186.071834003087,END_FACE_TRANSITION_ABSENT,717129aed421f0b767246e81fa239d912345d12f863ef17023b50c48eef2a483,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g2/FULL_NOISE,False,ffe9d2fdcbc5d6713be7a120e8a5d744290ce63783fd3d73444967b45a64e106,0b4be2677d5facc2ee95fd66ab14d85f69c6793c5d56ffa14e15f54d59f347b7,0.08413236000024292
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,NONE,True,1334931069,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g2/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.002264847759235074,2880.156151994015,END_FACE_TRANSITION_ABSENT,a01757f3e127e921a051baff10763334603b56b8e97907f714129f46a36a0d5b,phase-b-signal-v1/END_FACE_TRANSITION_ABSENT/g2/INDEPENDENT_NOISE_FREE,False,cf0f998db1eb6471a4d26ffe51484db08d64bec68bc685971173b6d85bf9abf4,c66ba68298bfc25f98da043bd8d9dc7502dbd529569cb4fdb213760986b8429c,0.15219295603746266
PCL,pcl_point_to_plane,FULL_NOISE,NONE,True,1850310744,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g0/FULL_NOISE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.00041483819469765226,1240.5051729874685,END_FACE_TRANSITION_PRESENT,cb07174c78fba82151cfb57c193a2b819ea6bd711c713d1509b0574607c19b71,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g0/FULL_NOISE,False,02d8b697defd03cd4faba560022e355a9bba48cf9fd98d0f1ce69d8978ccd5d3,00f2bb8dfc3e7ae73a2dffc071ced5390d107c609aa5452ffa5f99db98ea7b18,0.0011831453949923975
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,NONE,True,1850310744,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g0/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.00031317035800571864,1260.2529949945165,END_FACE_TRANSITION_PRESENT,3f763cd7c08160ad5ea041cdc151545b621974b6b294e6cbc1ec33663d4fdaeb,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g0/INDEPENDENT_NOISE_FREE,False,46acfbe672e61cf1d63dcfe7884a1298d623fb73039df40f9a8eeec8a5f42789,b6d33cebbdbab232bd72dd63679a386d97f2550b978f141134816bd625c888f8,0.0011770082385326227
PCL,pcl_point_to_plane,FULL_NOISE,NONE,True,1957656152,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g1/FULL_NOISE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.00010140735995349335,1101.1063830083003,END_FACE_TRANSITION_PRESENT,5f48febcf33df73f5f1854ffb29349d2abda770e76c1ed919b4d855ff90b7f49,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g1/FULL_NOISE,False,1df56fcca224df114484124ce561e36a5ec1cdd1fa18b3753841305e5d6dc3e2,86c0d3ce1a2240d96592c0a4ed118573cd2b06e74864eed422b34d17c026de91,0.0006729872660267815
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,NONE,True,1957656152,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g1/INDEPENDENT_NOISE_FREE/pcl_iterative_closest_point_with_normals,9447b2a95fd5049eed816b2eef98114c80e211b3e46e4378e87faf97bbf936fb,0.00011532268834779683,1270.9290999919176,END_FACE_TRANSITION_PRESENT,4d3e5aa0b474571af70432620c0a3bb0a00a5cee8f3de2deb46ebb8405c49374,phase-b-signal-v1/END_FACE_TRANSITION_PRESENT/g1/INDEPENDENT_NOISE_FREE,False,0d15501db80b3990b71ccf0a4c71bab37a83c4f1d737176a81af8f604db4f072,5e8db80e269cd9215d1d837842beee1865829bd1885785186ed96637c72f4a0f,0.00044910682661917313
