backend,backend_schema_name,condition,rotation_max_rad,rotation_median_rad,rotation_min_rad,scene_variant,translation_max_m,translation_median_m,translation_min_m,trial_count
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,0.00024000244698227458,0.000193026628312809,0.00010168523277166348,GEOMETRY_RICH_ROOM,0.00111681403164967,0.0008738429644161413,0.0006396775778417788,3
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,0.0006167467858839479,0.0005240354820420987,0.000341630617253554,LONG_CORRIDOR,0.11010281017453698,0.04675783280602162,0.007053587838090824,3
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,0.0008609009313880462,0.0005567278372671111,0.0003204929028987339,PARALLEL_WALLS,0.19062966152601227,0.0009813952008182192,0.00039503408714656985,3
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,0.0011658743182375979,0.0002954146859305417,0.00011617157154309663,END_FACE_TRANSITION_PRESENT,0.0011925015642517676,0.0009608817304926227,0.00043995081349147306,3
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,0.0013699991063021004,0.0013053107201736287,0.00046641438284075005,END_FACE_TRANSITION_WEAK,0.00760983681119527,0.0033043205287298038,0.002780062375522008,3
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,0.002255581453726299,0.0011468769013499268,0.0002622149717494809,END_FACE_TRANSITION_ABSENT,0.15420133417485107,0.11191654395713936,0.018615310326300864,3
Open3D,open3d_point_to_plane,INDEPENDENT_NOISE_FREE,0.0005606275760694035,0.0002874876920823181,2.9437644942370576e-05,REPEATED_STRUCTURE,0.012519638757494908,0.012397932069950487,0.009984179523622913,3
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,0.0002403466789621882,0.0001941399778872906,9.941547841883583e-05,GEOMETRY_RICH_ROOM,0.0011151226986853555,0.0008878159128543235,0.0006390260886632767,3
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,0.0007270770865390135,0.0006320437861669865,0.00034068241163121585,LONG_CORRIDOR,0.09918486396669692,0.00899904226765225,0.005580800191100977,3
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,0.0008639850696820123,0.0003917804634814531,0.00032215100815064727,PARALLEL_WALLS,0.18538625428278296,0.0032911520072346225,0.00043283584277951465,3
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,0.0011828673528692264,0.00031317035800571864,0.00011532268834779683,END_FACE_TRANSITION_PRESENT,0.0011770082385326227,0.0009573158249047623,0.00044910682661917313,3
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,0.0015182527962527708,0.0013170119290135522,0.000492936219856751,END_FACE_TRANSITION_WEAK,0.002858082264166201,0.001136419930418025,0.0009566385131673243,3
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,0.002264847759235074,0.0011513389765654336,0.000260283733087197,END_FACE_TRANSITION_ABSENT,0.15219295603746266,0.1104622021013732,0.0193226116065513,3
