backend,backend_schema_name,finite_translation_count,fraction_translation_le_1mm,nonfinite_output_count,qualified,rotation_max_rad,rotation_median_rad,rotation_q95_rad,solver_failure_count,translation_max_m,translation_median_m,translation_q95_m,trial_count
Open3D,open3d_point_to_plane,210,1.0,0,True,4.464570456957736e-10,1.7496960860045413e-10,4.3720857861883907e-10,0,1.1344734654838317e-07,1.4011962146168403e-09,5.583671270500705e-08,210
PCL,pcl_point_to_plane,210,1.0,0,True,3.159937850949728e-09,1.010705375977384e-09,2.8620920306994413e-09,0,2.1924632363666777e-07,1.2676845352414192e-08,1.2291248917183737e-07,210
