stream,timestamp_source,unit,applied_offset_seconds,start_time,end_time,sample_count,median_period_seconds,q05_period_seconds,q95_period_seconds,duplicate_timestamp_count,non_monotonic_count,unix_seconds_validation,bag_record_minus_header_min_seconds,bag_record_minus_header_max_seconds,bag_record_epoch_used
LiDAR,message_header,seconds,0.0,1645814029.1979942,1645814202.7716665,1722,0.10085678100585938,0.09949517250061035,0.1021430492401123,0,0,PASS,102208994.83379102,102208994.97438574,False
IMU_raw,message_header,seconds,0.0,1645814029.2913105,1645814202.9552283,69446,0.0013637542724609375,5.793571472167969e-05,0.005625677108764649,0,0,PASS,102208994.73597336,102208994.90834641,False
IMU_effective_FAST_LIO,message_header_minus_frozen_offset,seconds,-0.0034,1645814029.2879105,1645814202.9518282,69446,0.0013637542724609375,5.793571472167969e-05,0.005625677108764649,0,0,PASS,102208994.73597336,102208994.90834641,False
FAST_LIO_odometry,message_header_lidar_end_time,seconds,0.0,1645814029.5962641,1645814202.825544,1719,0.10036313533782959,0.09907182455062866,0.10172715187072753,0,0,PASS,NOT_APPLICABLE,NOT_APPLICABLE,False
RTK_fix,message_header,seconds,0.0,1645814029.307201,1645814202.941569,869,0.2001490592956543,0.1808540105819702,0.22145003080368042,0,0,PASS,102208994.7367413,102208994.80763364,False
