interval_id,interval_label,metric,risk_direction,count,median,iqr,mean,standard_deviation,q05,q95
structural_candidate_01,structural_degeneracy_candidate,ODI_trans,higher,139,0.6910180001724595,0.02981789150232972,0.6816506127317402,0.04193585475674853,0.5926120598388479,0.7228454560402826
structural_candidate_01,structural_degeneracy_candidate,AIS_trans,lower,139,3.574160942169383,0.07090011279919661,3.5882724529883734,0.0622374522329762,3.5021740539052857,3.715296553011304
structural_candidate_01,structural_degeneracy_candidate,lambda_min_trans,lower,139,11.901429919806246,2.3055444357730384,12.242509877366963,1.7382517144334344,10.148159749810313,14.852920446421304
structural_candidate_01,structural_degeneracy_candidate,lambda_mid_trans,not_risk_oriented,139,19.30065693915004,1.67202195765055,19.67485907447018,2.533210002825802,17.02880522056436,25.147587267452177
structural_candidate_01,structural_degeneracy_candidate,lambda_max_trans,not_risk_oriented,139,202.33258894584583,5.8988722933586075,200.05029218099443,10.092617406065699,172.56177783907276,208.3079176201476
structural_candidate_01,structural_degeneracy_candidate,condition_number_trans,higher,139,16.88064283700664,3.307772920484636,16.69748460893451,2.623752299818811,12.036266291349401,20.64764554296577
structural_candidate_01,structural_degeneracy_candidate,lambda_min_over_lambda_max,lower,139,0.05923945015931188,0.012025415757095578,0.061697259158718896,0.01231671177053058,0.04843171765089995,0.08308242490060522
structural_candidate_01,structural_degeneracy_candidate,spectral_entropy_trans,lower,139,0.4811685684846145,0.03686933779437862,0.49147554419690825,0.04836266811940698,0.44103111771966047,0.5959467716792407
structural_candidate_01,structural_degeneracy_candidate,effective_rank_trans,lower,139,1.617963999655081,0.05963578300465944,1.6366987745365196,0.08387170951349707,1.5543090879194348,1.814775880322304
structural_candidate_01,structural_degeneracy_candidate,primary_eigengap,direction_identifiability_only,139,7.293176703039974,2.3771783675276925,7.43234919710322,2.0233429087920403,4.494047589288074,10.12859008312801
structural_candidate_01,structural_degeneracy_candidate,primary_eigengap_ratio,direction_identifiability_only,139,0.03592685277647217,0.011710425672877889,0.03756506904607567,0.01229745543058092,0.02167941719118865,0.0580079012283697
structural_candidate_01,structural_degeneracy_candidate,valid_correspondence_count,not_risk_oriented,139,612.0,172.0,590.0647482014389,151.02558611490036,248.9,768.1
geometry_rich_control_01,geometry_rich_control,ODI_trans,higher,139,0.813142068184089,0.0912255911091997,0.8071322923985071,0.04739452109405368,0.7342090941660518,0.8647649853721493
geometry_rich_control_01,geometry_rich_control,AIS_trans,lower,139,3.017109214165186,0.2208526471027259,3.0066460880651307,0.11118712500215097,2.8366608094426984,3.150256580491786
geometry_rich_control_01,geometry_rich_control,lambda_min_trans,lower,139,3.696397730751123,1.6190131023968517,3.9955536357505212,0.8459986971893143,3.0026319200575604,5.3495455329912955
geometry_rich_control_01,geometry_rich_control,lambda_mid_trans,not_risk_oriented,139,12.344870413601791,4.865313857893696,11.885140750543055,2.6550390829638895,8.041872462004402,15.868752315545967
geometry_rich_control_01,geometry_rich_control,lambda_max_trans,not_risk_oriented,139,191.3644369751492,30.426545414827643,183.4924317682932,17.5696375869292,152.99782748536393,201.93766896549272
geometry_rich_control_01,geometry_rich_control,condition_number_trans,higher,139,52.61752144102639,27.241800319581515,48.77915916846382,13.748459082190045,29.28503383190486,67.0731521489393
geometry_rich_control_01,geometry_rich_control,lambda_min_over_lambda_max,lower,139,0.019005076115582487,0.013662351877453766,0.02241821177755345,0.00697694348614103,0.014909099703364558,0.03414722090742779
geometry_rich_control_01,geometry_rich_control,spectral_entropy_trans,lower,139,0.3175193773873316,0.13201953767828312,0.323929909340927,0.0679248543728679,0.23938686598757364,0.4263010513833078
geometry_rich_control_01,geometry_rich_control,effective_rank_trans,lower,139,1.373715863631822,0.1824511822183994,1.3857354152029855,0.09478904218810737,1.2704700292557014,1.5315818116678963
geometry_rich_control_01,geometry_rich_control,primary_eigengap,direction_identifiability_only,139,8.383456510853163,3.484092069250103,7.889587114792533,2.0108923205001377,4.8451559853853166,11.009181851090258
geometry_rich_control_01,geometry_rich_control,primary_eigengap_ratio,direction_identifiability_only,139,0.046275859569415996,0.024412268899832848,0.044234156473753075,0.014755222945714982,0.024323986204159168,0.06968413652643565
geometry_rich_control_01,geometry_rich_control,valid_correspondence_count,not_risk_oriented,139,928.0,213.0,929.1223021582733,110.9536696907771,777.9,1071.2
