condition,condition_rho_at_least_0_50_count,condition_rho_median,scene_count,scope,spearman_gate_threshold,spearman_rho,threshold_pass
INDEPENDENT_NOISE_FREE,,,7,CONDITION,0.7,0.9285714285714288,True
SCAN_NOISE_ONLY,,,7,CONDITION,0.5,1.0,True
MAP_NOISE_ONLY,,,7,CONDITION,0.5,0.9642857142857145,True
DROPOUT_ONLY,,,7,CONDITION,0.5,0.9285714285714288,True
FULL_NOISE,,,7,CONDITION,0.7,1.0,True
POOLED_35_SCENE_CONDITION,5,0.9642857142857145,35,POOLED,0.75,0.9554621848739496,True
