metric_name,target_name,control_set,scope,sequence_id,scene_family,partial_spearman_rho,abs_partial_spearman_rho,n_samples,expected_sign,observed_sign,expected_sign_match,effect_size_threshold,passes_effect_size,substantive_validity_status,interpretation
AIS_median,weak_drift_alignment,numeric_plus_group_controls,merged_controlled,ALL,ALL,0.0604530211758,0.0604530211758,2700,negative,positive,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
AIS_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,CT-L2-S01-M2,CT,0.0106799213281,0.0106799213281,820,negative,positive,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
AIS_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,OC-L0-S01-M1,OC,nan,nan,0,negative,undefined,undefined,0.1,false,undefined_insufficient_samples,not enough samples after finite filtering and controls
AIS_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,RT-L4-S01-M1,RT,0.0568252445645,0.0568252445645,980,negative,positive,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
AIS_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,ST-L3-S01-M1,ST,0.0885744988616,0.0885744988616,900,negative,positive,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
lambda_min_clamped_median,weak_drift_alignment,numeric_plus_group_controls,merged_controlled,ALL,ALL,-0.0220164062011,0.0220164062011,2700,negative,negative,true,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
lambda_min_clamped_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,CT-L2-S01-M2,CT,0.0220482321797,0.0220482321797,820,negative,positive,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
lambda_min_clamped_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,OC-L0-S01-M1,OC,nan,nan,0,negative,undefined,undefined,0.1,false,undefined_insufficient_samples,not enough samples after finite filtering and controls
lambda_min_clamped_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,RT-L4-S01-M1,RT,nan,nan,980,negative,undefined,undefined,0.1,false,undefined_singular_controls,control residualization is singular or removes usable variation
lambda_min_clamped_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,ST-L3-S01-M1,ST,-0.120735645934,0.120735645934,900,negative,negative,true,0.1,true,substantive_candidate,lambda_min_clamped_median retains controlled association with weak_drift_alignment; still requires Day 21 joint-risk context
condition_number_median,weak_drift_alignment,numeric_plus_group_controls,merged_controlled,ALL,ALL,0.0126834753263,0.0126834753263,2700,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
condition_number_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,CT-L2-S01-M2,CT,-0.0177545609642,0.0177545609642,820,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
condition_number_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,OC-L0-S01-M1,OC,nan,nan,0,positive,undefined,undefined,0.1,false,undefined_insufficient_samples,not enough samples after finite filtering and controls
condition_number_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,RT-L4-S01-M1,RT,0.0710591753059,0.0710591753059,980,positive,positive,true,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
condition_number_median,weak_drift_alignment,numeric_controls_within_sequence,within_sequence_controlled,ST-L3-S01-M1,ST,-0.0265196080107,0.0265196080107,900,positive,negative,false,0.1,false,exploratory_small_or_wrong_sign,controlled rho is small or expected sign does not match; not substantive evidence
