metric_name,target_name,n_sequences,n_valid_sequences,median_abs_rho,mean_abs_rho,sign_consistency,n_positive,n_negative,n_undefined,best_sequence_count,interpretation
ODI_median,axis_drift_rate,4,4,0.0746475151871,0.0996862954696,0.75,1,3,0,2,ODI remains exploratory and is not validated for robust drift prediction.
AIS_median,axis_drift_rate,4,4,0.0416806598297,0.0689605895691,0.75,3,1,0,0,AIS_median grouped validity for axis_drift_rate; compare fairly against ODI and other baselines
lambda_min_clamped_median,axis_drift_rate,4,3,0.0160667576162,0.0158541227678,0.666666666667,2,1,1,1,lambda_min_clamped_median grouped validity for axis_drift_rate; compare fairly against ODI and other baselines
condition_number_median,axis_drift_rate,4,4,0.0465281224106,0.0465005793299,0.75,1,3,0,1,condition_number_median grouped validity for axis_drift_rate; compare fairly against ODI and other baselines
ODI_median,weak_drift_alignment,4,3,0.0471354326471,0.0574949501481,1,0,3,1,1,ODI remains exploratory and is not validated for robust drift prediction.
AIS_median,weak_drift_alignment,4,3,0.0654264333395,0.0657508963994,1,3,0,1,1,AIS_median grouped validity for weak_drift_alignment; compare fairly against ODI and other baselines
lambda_min_clamped_median,weak_drift_alignment,4,2,0.0785923464696,0.0785923464696,0.5,1,1,2,0,lambda_min_clamped_median grouped validity for weak_drift_alignment; compare fairly against ODI and other baselines
condition_number_median,weak_drift_alignment,4,3,0.0502028781828,0.0572052118734,0.666666666667,1,2,1,1,condition_number_median grouped validity for weak_drift_alignment; compare fairly against ODI and other baselines
