sequence_id,scene_family,trial_id,window_id,axis_drift_rate,weak_drift_alignment,ODI_median,AIS_median,lambda_min_clamped_median,condition_number_median,weak_alignment_median,path_length,risk_ODI,risk_low_AIS,risk_low_lambda,risk_high_condition,risk_weak_alignment,risk_low_motion,joint_risk_equal,joint_risk_spectral,joint_risk_information,joint_risk_odi_information,joint_risk_no_odi,joint_risk_motion_aware,applied_axis_bias,is_unbiased_protocol
OC-L0-S01-M1,OC,0,0,0.000258791123237,nan,0.512120951636,9.50373485032,1420.80456607,58.6802741833,nan,8.15022931861,0.060918871765,0.00857807502181,0.060918871765,0.0551032276825,nan,0.816952602501,0.0463797615586,0.0589803237375,0.0415333914898,0.0434719395173,0.235388194243,0.200494329747,0,true
OC-L0-S01-M1,OC,0,1,-0.00054885860846,nan,0.512508871287,9.50130912237,1416.13805413,58.8853060565,nan,8.09080504805,0.107444024426,0.0143937191044,0.0841814480954,0.0841814480954,nan,0.834399534748,0.0725501599302,0.0919356402055,0.060918871765,0.0686730638752,0.254289037511,0.224920034894,0,true
OC-L0-S01-M1,OC,0,2,0.000208914147276,nan,0.513174514343,9.49507398038,1414.59863435,58.9394328219,nan,8.01671893376,0.200494329747,0.124890956673,0.089997092178,0.089997092178,nan,0.857662111079,0.126344867694,0.126829504701,0.101628380343,0.138460792866,0.290636813027,0.272608316371,0,true
OC-L0-S01-M1,OC,0,3,-0.000143780250735,nan,0.512858518647,9.49257443876,1386.51574701,60.1483560808,nan,7.93541528947,0.16269264321,0.188863041582,0.165600465252,0.165600465252,nan,0.880924687409,0.170689153824,0.164631191238,0.173354657362,0.172385383348,0.350247164874,0.312736260541,0,true
OC-L0-S01-M1,OC,0,4,-9.67022622717e-05,nan,0.512858518647,9.49269810403,1387.96832687,60.0789123444,nan,7.85460424767,0.16269264321,0.183047397499,0.153969177086,0.153969177086,nan,0.898371619657,0.163419598721,0.156876999128,0.163661917224,0.166569739265,0.347339342832,0.310410002908,0,true
OC-L0-S01-M1,OC,0,5,7.68292015618e-05,nan,0.513375818033,9.49086821509,1377.31487559,60.5399739848,nan,7.78161152074,0.212125617912,0.200494329747,0.194678685664,0.194678685664,nan,0.921634195987,0.200494329747,0.200494329747,0.196617233692,0.202432877775,0.377871474266,0.344722302995,0,true
OC-L0-S01-M1,OC,0,6,-6.84296895768e-05,nan,0.513089995096,9.49219891207,1367.21386257,60.9855432538,nan,7.7229051201,0.194678685664,0.194678685664,0.212125617912,0.212125617912,nan,0.944896772318,0.203402151788,0.20630997383,0.20630997383,0.200494329747,0.390956673452,0.351701075894,0,true
OC-L0-S01-M1,OC,0,7,-0.000328201968105,nan,0.512360735284,9.49569299797,1377.85502847,60.5227440022,nan,7.68375343562,0.0987205583018,0.119075312591,0.183047397499,0.183047397499,nan,0.968159348648,0.145972666473,0.1549384511,0.161723369196,0.133614422797,0.363332364059,0.310410002908,0,true
OC-L0-S01-M1,OC,0,8,9.30353195147e-05,nan,0.512623094335,9.49363083605,1389.05507511,60.0215867594,nan,7.66792658662,0.136522244839,0.171416109334,0.148153533004,0.148153533004,nan,0.991421924978,0.151061355045,0.144276436949,0.155907725114,0.152030629059,0.36478627508,0.319133469032,0,true
OC-L0-S01-M1,OC,0,9,-8.02188580482e-05,nan,0.512257345324,9.49833824598,1406.68401919,59.2546429251,nan,7.67737181735,0.0841814480954,0.0376562954347,0.101628380343,0.0958127362605,nan,0.985606280896,0.0798197150334,0.093874188233,0.0783658040128,0.0744887079577,0.305175923233,0.260977028206,0,true
OC-L0-S01-M1,OC,0,10,-5.8025108725e-05,nan,0.512360735284,9.49367654033,1400.08851531,59.5398556618,nan,7.711868359,0.0987205583018,0.165600465252,0.119075312591,0.119075312591,nan,0.962343704565,0.125617912184,0.112290394495,0.134583696811,0.127798778715,0.34152369875,0.29296307066,0,true
