sweep_type,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,bootstrap_blocks,median_per_geometry_kendall_tau,positive_direction_geometry_ratio,per_geometry_kendall_tau,paired_monotonic_rate,sensor_run_count
geometry,0.9612385956063202,0.9487395708939768,0.9683190100429113,13,0.894427190999916,1.0,101:0.894427191;202:0.894427191;303:0.894427191;404:0.894427191;505:0.894427191;606:0.894427191;707:0.894427191;808:0.894427191;909:0.894427191;1011:0.894427191;1213:0.894427191;1417:0.894427191;1619:0.894427191,1.0,208
observation,0.8308963035482437,0.7971499421577863,0.8743898438166791,13,0.7080881928749334,1.0,101:0.596284794;202:0.838525492;303:0.782623792;404:0.596284794;505:0.596284794;606:0.596284794;707:0.708088193;808:0.596284794;909:0.894427191;1011:0.838525492;1213:0.596284794;1417:0.857159391;1619:0.894427191,0.8076923076923077,208
