timestamp,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,ODI,AIS,lambda_min,lambda_min_clamped,condition_number,num_points,weak_dir_0,weak_dir_1,weak_dir_2,weak_dir_3,weak_dir_4,weak_dir_5,weak_trans_x,weak_trans_y,weak_trans_z,axis_alignment,weak_reliable,num_weak_dims,trans_eig_1,trans_eig_2,trans_eig_3,ODI_trans,AIS_trans_raw,AIS_trans_normalized,lambda_min_trans_raw,lambda_min_trans_normalized,condition_number_trans,trans_info_trace_raw,trans_info_trace_normalized,effective_sample_size,weak_trans_subspace_dim,weak_trans_subspace_alignment,weak_trans_primary_x,weak_trans_primary_y,weak_trans_primary_z,weak_trans_primary_reliable
0.0,161082.6588531487,158213.61515520068,80814.02231741254,9915.462842847966,3515.716559871485,2528.0005273496577,0.5267883259005617,10.077228214774566,2528.0005273496577,2528.0005273496577,63.719392899821464,640,0.627951787301659,0.7780441655325842,0.017785416905814616,0.0010335918570725522,0.0001572435205658973,0.0025328271144250958,0.37720695558138817,0.057385658828190696,0.9243493921791018,nan,0,1,249.91489358867085,245.18670283148845,126.16195260155358,0.06115963648849276,11.748371556810612,5.286903380456896,80743.6496649943,126.16195260155358,1.9809054032157818,397608.6713738963,621.2635490217128,640.0,0,0.0,0.04976113566598319,-0.016222604269142453,0.9986293889566632,0
0.1,161932.45767252758,153632.76202877614,84495.4175072518,9500.524417774874,3519.765827155729,2490.0448095780616,0.5249562303556905,10.071178672734588,2490.0448095780616,2490.0448095780616,65.0319452283138,640,0.8178908648585962,0.5750042778962419,-0.009746523023674099,-0.0004466509420307242,0.003363005266929898,-0.01783562640724046,-0.024601535856664032,0.18523434493245666,-0.9823863811611686,nan,0,1,252.90810074256126,239.1579175984949,130.15891769451568,0.05578068531193492,11.754438072992238,5.292969896638524,83301.70732449002,130.15891769451568,1.9430716329106177,398223.959062766,622.2249360355719,640.0,0,0.0,0.028278116225416487,-0.04117353032013899,0.9987517652268347,0
0.2,166109.08595670972,155518.9598723465,78455.54491084232,10125.514529748845,3601.524751928611,2438.4449626787887,0.528921969176899,10.076051461004356,2438.4449626787887,2438.4449626787887,68.1209084064084,640,0.7321068211917912,0.6807985081700305,-0.021165736700086528,-0.0034938379145310616,0.0013269782584420207,-0.008428371917683752,-0.378948275901862,0.14392657458563068,-0.914157177578918,nan,0,1,257.7537534635348,242.60604557112424,122.10924552930022,0.06852801107079598,11.744255863017413,5.282787686663693,78149.91713875215,122.10924552930022,2.1108455166213154,398380.1885209338,622.4690445639591,640.0,0,0.0,0.028758865207989773,-0.019491633728988773,0.9993963197283267,0
0.3,167845.64209848383,160835.92174291928,71396.83459712366,9936.741282419975,2841.4341707308513,2560.443788756112,0.5419495889111005,10.033167253772993,2560.443788756112,2560.443788756112,65.55333994659763,640,0.9219230223041069,0.3873149065174877,0.0016983177248590115,5.0366141476992934e-05,0.0037498816625768385,-0.005306194746223127,0.007751403205396006,0.5771108106907781,-0.8166290638546857,nan,0,2,261.0648548074736,249.90638627948476,111.03175422163031,0.08773550280547049,11.72669316995607,5.2652249936023505,71060.3227018434,111.03175422163031,2.3512629935249194,398081.9169974967,622.0029953085885,640.0,0,0.0,-0.01699559261765818,-0.031100151600696242,0.9993717678631853,0
0.4,164466.70430200416,158869.98540888305,76680.60300270653,9428.08477355196,3453.236842678471,2483.909350128179,0.5341944445215618,10.058311740102313,2483.909350128179,2483.909350128179,66.21284480189145,640,0.6438803392761216,0.7647122750198188,-0.024950950234849993,0.00046191782548110616,0.0021444007247163745,-0.002425569523187398,0.14124401773454834,0.6557092133787047,-0.741684269042079,nan,0,1,256.840192886413,247.9635245240332,119.70135399611142,0.07288061590573469,11.743714524317463,5.2822463479637465,76608.86655751133,119.70135399611142,2.145674917718613,399683.24570019706,624.5050714065578,640.0,0,0.0,0.07966118471234558,-0.03224576586380235,0.9963003092612601,0
0.5,163422.32946559734,157679.7872752011,78997.09201499126,10019.141142451685,3268.525673415943,2549.542745019148,0.5297637466824217,10.066275723492268,2549.542745019148,2549.542745019148,64.0986819243817,640,0.733641384712513,0.6779076818160771,-0.04188034279565478,-0.0018025383209367984,0.00705405564241635,-0.02011272268423415,-0.08427029233837209,0.3297834638259609,-0.9402879265502436,nan,0,1,254.91813592818824,245.34238850423543,120.43261410021714,0.07042877563909622,11.739698492148895,5.278230315795177,77076.87302413899,120.43261410021714,2.1166868944325987,397243.6086608901,620.6931385326408,640.0,0,0.0,0.026182020384350444,-0.012620752701137938,0.9995775199602331,0
0.6,163488.11741481413,159798.15163865904,76794.3682712917,9743.584452342031,3038.1590355838393,2601.400029117752,0.5344381954489743,10.050380603551398,2601.400029117752,2601.400029117752,62.84620419192509,640,0.6018932116929256,0.7984983568858122,-0.0005883618961583965,-0.008155608578243545,-0.0034548211121808725,-0.006792632679139099,-0.7306602483304627,-0.30951711666219456,-0.6085513585580002,nan,0,2,253.36284230394278,247.93915333663168,119.4496045163644,0.07196988527945969,11.738436154220176,5.2769679778664615,76447.74689047322,119.4496045163644,2.121085652227777,397281.0241004409,620.7516001569389,640.0,0,0.0,0.0556730352507479,-0.050400024309635735,0.9971761883917794,0
0.7,163205.62009501358,160096.500697662,76750.8015902765,9744.260575680391,3487.739921784988,2319.4009947625977,0.5336146922898761,10.054197181808808,2319.4009947625977,2319.4009947625977,70.36541782276785,640,0.5891995023919078,0.8075540990180166,0.02371005455817734,-0.011704668958937512,-0.0009393803831545253,0.0005245400206985161,-0.9958018271340356,-0.07991996229887913,0.044626457428995264,nan,0,1,253.2605908209182,248.7705420824725,119.83943546109342,0.07165181035176937,11.740503545089974,5.279035368736257,76697.23869509979,119.83943546109342,2.1133326425185035,397997.16375326994,621.8705683644841,640.0,0,0.0,0.04041373341198322,-0.06947753991332019,0.9967645667856068,0
0.8,169344.0766732384,156550.18165077173,74131.86049368439,9391.541583808896,3231.433956540648,2460.815322889957,0.5392227837506451,10.041828855377519,2460.815322889957,2460.815322889957,68.8162476468825,640,0.7204194011560532,0.692273397937896,0.04123044971411833,-0.0056816668158705405,0.0023671217064792365,-0.003948969342110893,-0.7769342699694827,0.32368986682133993,-0.5399981576488667,nan,0,2,264.1645217661642,244.0376083699256,115.67261007869618,0.0804453008022763,11.736355427940035,5.2748872515863185,74030.47045036557,115.67261007869618,2.2837257807742364,399279.8337374631,623.874740214786,640.0,0,0.0,0.06997278650474852,-0.027693983852834385,0.9971644059066287,0
0.9,168150.82491955673,159223.709167046,72739.34979737122,9628.466085076581,3165.6781194015466,2428.649067894169,0.5404356910251463,10.038845240681653,2428.649067894169,2428.649067894169,69.23636154043318,640,0.6045544909368363,0.7960859122210892,0.020159097654661257,-0.007324802170807554,-0.004152217919916268,-0.016846512768906252,-0.38892525252420573,-0.22047044621560405,-0.8944998212937079,nan,0,2,261.12775193467365,247.46592720924332,111.42310352727591,0.086467377908783,11.724675124101992,5.263206947748274,71310.7862574566,111.42310352727591,2.343569185099486,396810.74090956344,620.0167826711929,640.0,0,0.0,0.02832043785220567,-0.014419427902453763,0.9994948888807913,0
