snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,noise_condition,normal_angle_common_count,median_normal_angle_change_deg,q95_normal_angle_change_deg,normal_angle_turnover_reason
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::IDEAL_MATCHED,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,IDEAL_MATCHED,47809,0.0,2.8683447680324834,
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,47826,0.0,0.0,
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,SCAN_NOISE_ONLY,47826,0.0,3.4591389521949605,
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::MAP_NOISE_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,MAP_NOISE_ONLY,47826,0.4908901828394371,5.798813765858727,
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::DROPOUT_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,DROPOUT_ONLY,47306,0.0,0.0,
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::FULL_NOISE,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,FULL_NOISE,47359,0.7994285449860401,3.449579483658604,
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::IDEAL_MATCHED,REPEATED_STRUCTURE,1850310744,217775206,0,IDEAL_MATCHED,61213,0.0,36.098591236824085,
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,REPEATED_STRUCTURE,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,60803,0.0,0.0,
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,SCAN_NOISE_ONLY,60795,0.0,0.0,
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::MAP_NOISE_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,MAP_NOISE_ONLY,60776,0.0,0.0,
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::DROPOUT_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,DROPOUT_ONLY,60155,0.0,0.0,
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::FULL_NOISE,REPEATED_STRUCTURE,1850310744,217775206,0,FULL_NOISE,60163,0.0,8.537736462515939e-07,
