snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,noise_condition,correspondence_turnover,correspondence_turnover_reason,accepted_scan_index_turnover,accepted_scan_index_turnover_reason,initial_correspondence_count,final_correspondence_count,correspondence_intersection_count,correspondence_union_count
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::MAP_NOISE_ONLY,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,MAP_NOISE_ONLY,0.8925929350841502,,0.0002087377627486,,47901,47903,9292,86512
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::DROPOUT_ONLY,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,DROPOUT_ONLY,0.0001265449023495,,0.0,,47411,47411,47408,47414
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::FULL_NOISE,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,FULL_NOISE,0.9863170384940192,,0.0002319745249794,,47414,47413,1280,93547
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::IDEAL_MATCHED,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,IDEAL_MATCHED,0.9999895416087098,,0.0,,47809,47809,1,95617
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,4.181738348629782e-05,,0.0,,47826,47826,47825,47827
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,SCAN_NOISE_ONLY,0.999989545326238,,0.0,,47826,47826,1,95651
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::MAP_NOISE_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,MAP_NOISE_ONLY,0.997074643767104,,0.0,,47826,47826,279,95373
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::DROPOUT_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,DROPOUT_ONLY,4.2277041452654096e-05,,0.0,,47306,47306,47305,47307
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::FULL_NOISE,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,FULL_NOISE,0.9999894422331788,,0.0,,47359,47359,1,94717
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::IDEAL_MATCHED,REPEATED_STRUCTURE,1850310744,217775206,0,IDEAL_MATCHED,0.3132637894968623,,0.002265614812883,,61323,61242,49901,72664
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,REPEATED_STRUCTURE,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,0.038754939117813,,1.6446286428495327e-05,,60804,60803,59602,62005
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,SCAN_NOISE_ONLY,0.0985270202651988,,0.0002137876595185,,60801,60802,57651,63952
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::MAP_NOISE_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,MAP_NOISE_ONLY,0.0563452344786786,,0.000164511565163,,60779,60783,59019,62543
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::DROPOUT_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,DROPOUT_ONLY,0.0385248707957676,,1.6623445707852902e-05,,60156,60155,58974,61337
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::FULL_NOISE,REPEATED_STRUCTURE,1850310744,217775206,0,FULL_NOISE,0.0899812704358591,,0.0001495712291431,,60167,60168,57333,63002
