scene_variant,snapshot_count,scan_point_count_min,scan_point_count_max,map_point_count_min,map_point_count_max,primitive_count_max
GEOMETRY_RICH_ROOM,6,43765,44214,44214,44214,24
LONG_CORRIDOR,6,47306,47818,47818,47818,4
PARALLEL_WALLS,6,39388,39791,39767,39767,3
END_FACE_TRANSITION_PRESENT,6,48199,48730,48723,48723,5
END_FACE_TRANSITION_WEAK,6,47422,47912,47912,47912,5
END_FACE_TRANSITION_ABSENT,6,47306,47826,47809,47809,4
REPEATED_STRUCTURE,6,60242,61518,61518,61518,841
