backend_input_checksum,correspondence_count,failure_reason,final_cost,final_transformation,finite_result,fitness,geometry_seed,initial_cost,initial_transformation,inlier_rmse,iteration_count,map_checksum,measurement_seed,noise_condition,reference_pose_checksum,registration_backend,repeat_index,rotation_error_deg,rotation_error_rad,rotation_x_rad,rotation_y_rad,rotation_z_rad,runtime_ms,scan_checksum,scene_variant,snapshot_id,solver_converged,solver_failure,termination_reason,translation_error_m,translation_x_m,translation_y_m,translation_z_m
23f7525a26ed44e4685ce2729f90498f55ee608a9ecd91f6238007c1fcb48218,44213,,0.3412902475282746,"[0.9999999994639445,-6.197775188702284e-06,-3.215118522277463e-05,-0.00025238663233286294,6.196933563773181e-06,0.9999999996381778,-2.617713787779866e-05,-0.00034299812548528006,3.2151347451157266e-05,2.617693862500744e-05,0.9999999991405294,1.4998853374774104,0.0,0.0,0.0,1.0]",True,,1850310744,0.3453033466091342,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,4,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,IDEAL_MATCHED,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_full,0,0.002401881488935,4.192074022461954e-05,2.617703825907008e-05,-3.215126634638277e-05,6.197354378052884e-06,662.0221829998627,c0bcee617e1009f4dc2a8810b8557cba014ff159c6b20f6906cdb428217ec8d9,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::IDEAL_MATCHED,True,False,converged_step,0.000441014988808,-0.0002523866323328,-0.0003429981254852,-0.0001146625225896
23f7525a26ed44e4685ce2729f90498f55ee608a9ecd91f6238007c1fcb48218,44214,,0.3442233025686224,"[0.9999999997406177,-1.4290733466943864e-05,-1.7735265035993324e-05,-0.00026111641963167916,1.4290479175066009e-05,0.9999999997950983,-1.4338249574728443e-05,-0.00028065310858083195,1.7735469936462393e-05,1.4337996125573693e-05,0.9999999997399375,1.4998606251421316,0.0,0.0,0.0,1.0]",True,,1850310744,0.3453033466091342,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,IDEAL_MATCHED,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_frozen,0,0.0015420405783084,2.6913685290840636e-05,1.4338122851882032e-05,-1.773536748836895e-05,1.4290606322730164e-05,4.726647999632405,c0bcee617e1009f4dc2a8810b8557cba014ff159c6b20f6906cdb428217ec8d9,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::IDEAL_MATCHED,True,False,converged_step,0.0004078888365268,-0.0002611164196316,-0.0002806531085808,-0.0001393748578684
23f7525a26ed44e4685ce2729f90498f55ee608a9ecd91f6238007c1fcb48218,44214,,1.573011805878439e-17,"[1.0,2.4558512801779566e-20,3.1331411858156e-20,3.202305317660959e-19,-2.4558512801779566e-20,1.0,6.286387743882803e-20,9.524789309306796e-20,-3.1331411858156e-20,-6.286387743882803e-20,1.0,1.5,0.0,0.0,0.0,1.0]",True,1.0,1850310744,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",1.573011805878439e-17,-1,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,IDEAL_MATCHED,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,open3d_full,0,4.26330076182417e-18,7.440863529661434e-20,-6.286387743882803e-20,3.1331411858156e-20,-2.4558512801779566e-20,37.41879600056564,c0bcee617e1009f4dc2a8810b8557cba014ff159c6b20f6906cdb428217ec8d9,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::IDEAL_MATCHED,True,False,completed_finite_correspondences,3.340954274063999e-19,3.2023053176609593e-19,9.524789309306796e-20,0.0
c35a885446c786459f4828eaa74eea3c273064775494aca137446cd73b581931,44206,,0.7894715364690164,"[0.9999999996646812,1.5461366464533527e-05,-2.0774589829143113e-05,-0.0007028207836621265,-1.546197519598051e-05,0.9999999994511632,-2.9301890100803793e-05,-0.0003644695384487131,2.07741367704803e-05,2.9302211307170968e-05,0.9999999993549078,1.4997157074622092,0.0,0.0,0.0,1.0]",True,,1850310744,0.7937052109782118,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,INDEPENDENT_NOISE_FREE,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_full,0,0.0022405855864367,3.9105595656048566e-05,2.930205071145573e-05,-2.0774363305106564e-05,-1.5461670834197805e-05,511.0336970010394,ace67de1e4ff978cd29c56f96a66c4a4777292ceabf7f583b319ed4cecb1f1d7,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,True,False,converged_step,0.0008411999437993,-0.0007028207836621,-0.0003644695384487,-0.0002842925377908
c35a885446c786459f4828eaa74eea3c273064775494aca137446cd73b581931,44206,,0.7895140639361728,"[0.9999999996739186,1.5012449350535804e-05,-2.065887790899247e-05,-0.0007019892939174279,-1.5013093098791746e-05,0.999999999401798,-3.116105065169204e-05,-0.00036670722254963234,2.0658410092939666e-05,3.116136079518836e-05,0.9999999993010998,1.4997123750117254,0.0,0.0,0.0,1.0]",True,,1850310744,0.7937052109782118,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,INDEPENDENT_NOISE_FREE,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_frozen,0,0.0023083755062737,4.028875295686809e-05,3.1161205731870256e-05,-2.0658644006554865e-05,-1.5012771228725186e-05,5.785223000202677,ace67de1e4ff978cd29c56f96a66c4a4777292ceabf7f583b319ed4cecb1f1d7,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,True,False,converged_step,0.0008426098087043,-0.0007019892939174,-0.0003667072225496,-0.0002876249882746
c35a885446c786459f4828eaa74eea3c273064775494aca137446cd73b581931,44214,,0.0392692328220889,"[0.9999999714536225,3.237393317731388e-05,0.0002367375819095085,-0.0008755431605713774,-3.2372916331791655e-05,0.999999999466756,-4.299074022444356e-06,-0.00024658154095028246,-0.0002367377209612048,4.291410013789619e-06,0.9999999719684173,1.499705242276627,0.0,0.0,0.0,1.0]",True,1.0,1850310744,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",0.0392692328220889,-1,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,INDEPENDENT_NOISE_FREE,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,open3d_full,0,0.0136925171007863,0.0002389795062943,4.295242059001396e-06,0.0002367376536887,-3.237342506270032e-05,90.36777900109882,ace67de1e4ff978cd29c56f96a66c4a4777292ceabf7f583b319ed4cecb1f1d7,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,True,False,completed_finite_correspondences,0.0009561696490941,-0.0008755431605713,-0.0002465815409502,-0.0002947577233729
63bff07661eb5a81c2bf99d9db095553fbca5f173089864c3e1ce203e933885f,44208,,0.9851861826615708,"[0.9999999998386798,-1.1028548326082477e-06,-1.792830450334201e-05,-0.0007478611413357115,1.1022840148645947e-06,0.9999999994925349,-3.183889261289895e-05,-0.0003900852326668663,1.7928339607920604e-05,3.183887284567923e-05,0.9999999993324304,1.4997447967358937,0.0,0.0,0.0,1.0]",True,,1850310744,0.9911668535499782,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,SCAN_NOISE_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_full,0,0.0020945152592888,3.655618750785287e-05,3.183888273638043e-05,-1.7928322059624407e-05,1.102569423981992e-06,507.6292529993225,831570eb57126cdda0b2d036b8f8b122a6faaa1d6be3c6e99dfddec8fb4e8336,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,True,False,converged_step,0.000881244280251,-0.0007478611413357,-0.0003900852326668,-0.0002552032641063
63bff07661eb5a81c2bf99d9db095553fbca5f173089864c3e1ce203e933885f,44207,,0.9867636387874432,"[0.9999999998576639,1.020498725393851e-06,-1.6841343257026915e-05,-0.0007504962432792791,-1.0210662881584265e-06,0.9999999994316139,-3.370058971045879e-05,-0.000391273819219575,1.6841308856045686e-05,3.370060690178983e-05,0.9999999992903197,1.499738201217774,0.0,0.0,0.0,1.0]",True,,1850310744,0.9911668535499782,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,SCAN_NOISE_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_frozen,0,0.0021593764453216,3.768822876087402e-05,3.370059831410238e-05,-1.6841326060523213e-05,-1.0207825070177926e-06,5.020128999603912,831570eb57126cdda0b2d036b8f8b122a6faaa1d6be3c6e99dfddec8fb4e8336,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,True,False,converged_step,0.0008859336403805,-0.0007504962432792,-0.0003912738192195,-0.0002617987822259
63bff07661eb5a81c2bf99d9db095553fbca5f173089864c3e1ce203e933885f,44214,,0.0395880212861483,"[0.9999999733200835,2.8378478575231153e-05,0.00022924766974234808,-0.0009112551726933753,-2.8378346040014282e-05,0.9999999995971659,-5.813839551611066e-07,-0.0002459791949060357,-0.0002292476861487914,5.748782699490159e-07,0.9999999737225836,1.4997536785563028,0.0,0.0,0.0,1.0]",True,1.0,1850310744,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",0.0395880212861483,-1,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,SCAN_NOISE_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,open3d_full,0,0.0132352217999373,0.0002309981976406,5.781311176965901e-07,0.0002292476799843,-2.837841256000219e-05,139.60066999970877,831570eb57126cdda0b2d036b8f8b122a6faaa1d6be3c6e99dfddec8fb4e8336,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,True,False,completed_finite_correspondences,0.000975482448695,-0.0009112551726933,-0.000245979194906,-0.0002463214436971
ea93ff752323b8e47622c8ad304d04d8e3d69c065a620108103ca388a20221ce,44211,,0.7920520141562396,"[0.9999999997450453,9.979181960920119e-06,-2.0256492419249836e-05,-0.000667312840362438,-9.979846250594148e-06,0.9999999994124755,-3.2794078011359564e-05,-0.00034645720382080685,2.0256165149276935e-05,3.279428015967848e-05,0.9999999992571115,1.49972415000989,0.0,0.0,0.0,1.0]",True,,1850310744,0.7991819016828515,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,8b785fce000a6627d3d6d439ea312957c6f0d2cb2f64b2db3619aa688adc09bd,217775206,MAP_NOISE_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_full,0,0.0022813275269177,3.981667666109357e-05,3.279417909418416e-05,-2.0256328789615675e-05,-9.979514108394e-06,447.0048149996728,ace67de1e4ff978cd29c56f96a66c4a4777292ceabf7f583b319ed4cecb1f1d7,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::MAP_NOISE_ONLY,True,False,converged_step,0.0008008946485247,-0.0006673128403624,-0.0003464572038208,-0.00027584999011
