noise_condition,registration_backend,control_scene,weak_scene,control_translation_median_m,weak_translation_median_m,weak_over_rich_translation_median_ratio,ratio_at_least_2
INDEPENDENT_NOISE_FREE,native_full,GEOMETRY_RICH_ROOM,LONG_CORRIDOR,0.0008411999437993,0.1468236347412005,174.54070916608478,True
INDEPENDENT_NOISE_FREE,native_full,GEOMETRY_RICH_ROOM,PARALLEL_WALLS,0.0008411999437993,0.0243985536594735,29.004464205355077,True
INDEPENDENT_NOISE_FREE,open3d_full,GEOMETRY_RICH_ROOM,LONG_CORRIDOR,0.0009561696490941,0.1099700210800561,115.01099327325916,True
INDEPENDENT_NOISE_FREE,open3d_full,GEOMETRY_RICH_ROOM,PARALLEL_WALLS,0.0009561696490941,0.0029471029704556,3.0821967349076203,True
FULL_NOISE,native_full,GEOMETRY_RICH_ROOM,LONG_CORRIDOR,0.0008512881397953,0.1154514547149336,135.61971478035034,True
FULL_NOISE,native_full,GEOMETRY_RICH_ROOM,PARALLEL_WALLS,0.0008512881397953,0.002505608651305,2.9433144127997557,True
FULL_NOISE,open3d_full,GEOMETRY_RICH_ROOM,LONG_CORRIDOR,0.0008751492562068,0.1105045713763541,126.26939986822269,True
FULL_NOISE,open3d_full,GEOMETRY_RICH_ROOM,PARALLEL_WALLS,0.0008751492562068,0.0010185088255768,1.163811565116755,False
