registration_backend,scene_variant,trial_count,runtime_median_ms,runtime_iqr_ms,runtime_q95_ms
native_full,GEOMETRY_RICH_ROOM,6,509.33147500018094,112.19945450147861,645.383955500165
native_frozen,GEOMETRY_RICH_ROOM,6,5.1686725000763545,0.8549047511223762,5.780790250355494
open3d_full,GEOMETRY_RICH_ROOM,6,66.60071500027698,29.504853251182794,127.29244725005628
native_full,LONG_CORRIDOR,6,2451.2514219995865,1356.0216155010494,3800.228784751197
native_frozen,LONG_CORRIDOR,6,8.334363499670872,1.8419100010760303,10.231948499949794
open3d_full,LONG_CORRIDOR,6,117.37785499917663,23.099098751117708,541.6552289998435
native_full,PARALLEL_WALLS,6,2617.8985859987733,415.36944750077964,3052.3335755005974
native_frozen,PARALLEL_WALLS,6,10.35567200051446,1.7473182501817064,11.829695750293467
open3d_full,PARALLEL_WALLS,6,67.19022749985015,15.041667000787129,88.12835925027684
native_full,END_FACE_TRANSITION_PRESENT,6,649.9843319998035,125.87323400066452,762.0375852498
native_frozen,END_FACE_TRANSITION_PRESENT,6,5.294029499964381,0.40325849840883166,5.939651248809241
open3d_full,END_FACE_TRANSITION_PRESENT,6,73.26692300011928,11.311037751511321,92.08432650029862
native_full,END_FACE_TRANSITION_WEAK,6,2921.7507869989277,382.4619232495934,3938.6485620011626
native_frozen,END_FACE_TRANSITION_WEAK,6,7.396793499538035,2.0043704994350264,9.295387500060315
open3d_full,END_FACE_TRANSITION_WEAK,6,70.5279129997507,54.640597500565484,139.32921850027924
native_full,END_FACE_TRANSITION_ABSENT,6,3080.6595580006615,486.5858462521833,3562.5470725003656
native_frozen,END_FACE_TRANSITION_ABSENT,6,9.985961499296536,1.7160234997390926,11.589512000227842
open3d_full,END_FACE_TRANSITION_ABSENT,6,67.4862989999383,21.22293925003759,87.80816075068287
native_full,REPEATED_STRUCTURE,6,1871.849368500989,1218.309847499313,3695.545276249959
native_frozen,REPEATED_STRUCTURE,6,4.869119500654051,1.4283975001490035,6.1022805002721725
open3d_full,REPEATED_STRUCTURE,6,108.56118349965982,22.49618899941197,148.49688124922977
