scene_variant,geometry_seed,noise_condition,registration_backend,trial_count,translation_repeatability_covariance,translation_repeatability_rms_m,rotation_repeatability_covariance,rotation_repeatability_rms_rad,translation_error_median_m,translation_error_iqr_m,translation_error_q95_m,rotation_error_median_rad,rotation_error_iqr_rad,rotation_error_q95_rad
END_FACE_TRANSITION_ABSENT,1850310744,DROPOUT_ONLY,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0934707666623072,0.0,0.0934707666623072,5.78970833641212e-05,0.0,5.78970833641212e-05
END_FACE_TRANSITION_ABSENT,1850310744,DROPOUT_ONLY,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0014315905263536,0.0,0.0014315905263536,0.0003657448934188,0.0,0.0003657448934188
END_FACE_TRANSITION_ABSENT,1850310744,DROPOUT_ONLY,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.020480322121215,0.0,0.020480322121215,0.0002141591616509,0.0,0.0002141591616509
END_FACE_TRANSITION_ABSENT,1850310744,FULL_NOISE,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0860769797575124,0.0,0.0860769797575124,6.057092355207745e-05,0.0,6.057092355207745e-05
END_FACE_TRANSITION_ABSENT,1850310744,FULL_NOISE,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.238245448686256,0.0,0.238245448686256,0.0002392343490597,0.0,0.0002392343490597
END_FACE_TRANSITION_ABSENT,1850310744,FULL_NOISE,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.1092693265351859,0.0,0.1092693265351859,0.0002317481018494,0.0,0.0002317481018494
END_FACE_TRANSITION_ABSENT,1850310744,IDEAL_MATCHED,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0471998153219085,0.0,0.0471998153219085,0.0001056786589759,0.0,0.0001056786589759
END_FACE_TRANSITION_ABSENT,1850310744,IDEAL_MATCHED,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.1299956063902019,0.0,0.1299956063902019,0.000123468410258,0.0,0.000123468410258
END_FACE_TRANSITION_ABSENT,1850310744,IDEAL_MATCHED,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,9.466801657747177e-17,0.0,9.466801657747177e-17,1.6597457184626133e-19,0.0,1.6597457184626133e-19
END_FACE_TRANSITION_ABSENT,1850310744,INDEPENDENT_NOISE_FREE,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0934951730467928,0.0,0.0934951730467928,5.9081157580240224e-05,0.0,5.9081157580240224e-05
