scene_variant,geometry_seed,noise_condition,registration_backend,trial_count,mean_translation_x_m,mean_translation_y_m,mean_translation_z_m,systematic_translation_offset_m,mean_rotation_x_rad,mean_rotation_y_rad,mean_rotation_z_rad,systematic_rotation_offset_rad,systematic_fraction_translation
END_FACE_TRANSITION_ABSENT,1850310744,DROPOUT_ONLY,native_frozen,1,-0.0934686915626189,0.000621611512024,3.895047632229698e-05,0.09347076666230716,-5.789645985765707e-05,2.487203771388494e-07,-1.0166708759242677e-07,5.78970833641212e-05,1.0
END_FACE_TRANSITION_ABSENT,1850310744,DROPOUT_ONLY,native_full,1,-0.0011636065874191,0.0008334435620831,-2.903400906517639e-05,0.0014315905263535683,-0.0003657442510122,-1.495016566445518e-07,-6.690012723266525e-07,0.0003657448934187911,1.0
END_FACE_TRANSITION_ABSENT,1850310744,DROPOUT_ONLY,open3d_full,1,-0.020432614354598,0.0013585266745967,-0.0003259909498976,0.02048032212121504,-0.0002141589154629,-2.5055394267949e-07,2.0656594396969386e-07,0.00021415916165089214,1.0
END_FACE_TRANSITION_ABSENT,1850310744,FULL_NOISE,native_frozen,1,-0.0860745578873848,0.0006450251162988,-2.9517211685314848e-05,0.0860769797575124,-6.043002610447189e-05,2.4771990411542125e-06,3.3033634185419665e-06,6.057092355207745e-05,1.0
END_FACE_TRANSITION_ABSENT,1850310744,FULL_NOISE,native_full,1,0.2382446206945992,0.0006281133528042,1.8487763346897168e-06,0.2382454486862559,-0.0002391940295738,2.9749282451241835e-06,3.2310661095463228e-06,0.000239234349059703,1.0
END_FACE_TRANSITION_ABSENT,1850310744,FULL_NOISE,open3d_full,1,-0.109260094904053,0.0013804045032563,-0.0003344643744798,0.10926932653518587,-0.000231710291154,2.3830944629790262e-06,3.441590460210088e-06,0.00023174810184937165,1.0
END_FACE_TRANSITION_ABSENT,1850310744,IDEAL_MATCHED,native_frozen,1,-0.0471991832287149,-0.0001503414789764,0.0001925263726632,0.047199815321908554,0.0001056593869279,1.2095735705708598e-06,-1.6155026296005209e-06,0.00010567865897591885,1.0
END_FACE_TRANSITION_ABSENT,1850310744,IDEAL_MATCHED,native_full,1,-0.1299948197644335,0.0002541289940902,0.0003740770283364,0.12999560639020197,-0.0001234680454561,-2.815380312072573e-07,1.0401550219010735e-07,0.0001234684102579979,1.0
END_FACE_TRANSITION_ABSENT,1850310744,IDEAL_MATCHED,open3d_full,1,9.466456030375126e-17,8.089407950612897e-19,0.0,9.466801657747178e-17,1.6597429901538564e-19,-1.3695616337728836e-22,-2.6797184633998503e-22,1.6597457184626133e-19,
END_FACE_TRANSITION_ABSENT,1850310744,INDEPENDENT_NOISE_FREE,native_frozen,1,-0.0934930869722836,0.0006234434275764,3.727915437656826e-05,0.09349517304679278,-5.908070480904335e-05,2.168742551957047e-07,8.041047998703716e-08,5.9081157580240224e-05,1.0
END_FACE_TRANSITION_ABSENT,1850310744,INDEPENDENT_NOISE_FREE,native_full,1,-0.0013827414538825,0.0008374038926825,-3.0198109806089946e-05,0.0016168274903652384,-0.0003690895910083,-2.23954367223793e-07,-5.031766903424762e-07,0.00036909000194128056,1.0
END_FACE_TRANSITION_ABSENT,1850310744,INDEPENDENT_NOISE_FREE,open3d_full,1,-0.0199485747222884,0.0013600802764969,-0.0003219450205738,0.019997477351043853,-0.0002121048670696,-2.0658993691422853e-07,3.703754176951502e-07,0.00021210529105131904,1.0
END_FACE_TRANSITION_ABSENT,1850310744,MAP_NOISE_ONLY,native_frozen,1,-0.086926032700079,0.0006074975616826,8.608699577195011e-06,0.0869281559011369,-7.250367287947632e-05,-2.2515616269779685e-07,8.897174397749078e-07,7.250948126579275e-05,1.0
END_FACE_TRANSITION_ABSENT,1850310744,MAP_NOISE_ONLY,native_full,1,0.0456616676125761,0.0007862107955618,-4.340937866387229e-05,0.04566845630137496,-0.0001427287817748,-4.2239814723953025e-08,5.601029050301026e-07,0.00014272988701174207,1.0
END_FACE_TRANSITION_ABSENT,1850310744,MAP_NOISE_ONLY,open3d_full,1,-0.0281359382054477,0.0013618646049934,-0.0003382615043752,0.028170909015302427,-0.0002148544093485,-4.7657656195764805e-07,7.693755871514731e-07,0.00021485631543081602,1.0
