backend_input_checksum,dropout_checksum,geometry_seed,map_checksum,map_point_count,map_point_count_before_dropout,measurement_seed,noise_checksum,noise_condition,primitive_count,reference_pose_checksum,repeat_index,scan_checksum,scan_point_count,scan_point_count_before_dropout,scene_checksum,scene_variant,snapshot_id
54d9862143094f1ac3e2cf17d8bb721c010b25ff3a7493a0c90200cb94d84c8f,6d75594e7e16571b99a923552c10f4714ac52a85279c0da3a95ab03495ca60a1,1850310744,c58b185c2a48ae6373907aef708939a1571a34607f7ebf8bf30bb3805984c6bd,47818,47818,217775206,f92043178624e2e1485b3b92cda3cadd6fe89a052c401e2e8b5dd65292a4d08b,DROPOUT_ONLY,4,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,7c5ce979af2f7e4ced5519d1808445c17034aac482d946858e5dcd9c08df1cab,47306,47805,13953688d974396eefd956827de117ace6e05904c4437fc09da77309a693fc18,LONG_CORRIDOR,dev::LONG_CORRIDOR::g1850310744::m217775206::r00::DROPOUT_ONLY
61deff2e69f88387cb98737d6689512a0e993342f70de9f1a1a73f1f8ab5ab5b,dd04a90a21085bfd36eb00f2efa55f08c06ddc469f827196036740631d88161c,1850310744,97cd9088eb015d6890c1ed1483a40a91e156b0b1f5172c195fa43b49bf0adbe6,47818,47818,217775206,391219d9d8f966f656259d9398c4c7b57508ccee5077c757259437e75d04f03f,FULL_NOISE,4,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,cfab5756dccddabd333db7640281e49c63754bd73b1268760982108d3c5ef2a7,47348,47805,13953688d974396eefd956827de117ace6e05904c4437fc09da77309a693fc18,LONG_CORRIDOR,dev::LONG_CORRIDOR::g1850310744::m217775206::r00::FULL_NOISE
1fcf99b6d1ac2b4cfa479f3449291813eb6142218762676135813373a9ba148c,9a33ef84befaa397b24ccf83b4930b221af0cad25d08bdd88314d2b01ab2a661,1850310744,0e60e0caccc866c5498e06d0e9b1b4442549a0687b4e92f07608cc5edadbbab7,39767,39767,217775206,643897f699646bfceb765e98ecb87c5cad7550b19941de81f983599adb75d4cd,IDEAL_MATCHED,3,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,38d784d7bf902e37227f8b1b1a4055ee0b12d9e8f0d2f51bc4936b7b27387ea3,39767,39767,81a4c4dfc744167ce0e2105821e04229a431f82402fba4d89b0c1c650cf78d87,PARALLEL_WALLS,dev::PARALLEL_WALLS::g1850310744::m217775206::r00::IDEAL_MATCHED
92d4aa8f04f125691b2828ba066803662e44326578795b080e2878541d6c7e9f,d19f444cba178158e7dc4a41513432f772f8f0efedafb870f34b960f48c12d26,1850310744,0e60e0caccc866c5498e06d0e9b1b4442549a0687b4e92f07608cc5edadbbab7,39767,39767,217775206,06953f7a09bc97d3318cc83025dc65a971d88443967af1595099a9e3c6572e9b,INDEPENDENT_NOISE_FREE,3,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,51902a0a2296578fd94c3fbf1c945739429b612e264ab984de3e302fcc2a2f66,39791,39791,f6587301a4af07d1a6de3f7bc5907954400fc970c7f0598be232ca63fca86bfe,PARALLEL_WALLS,dev::PARALLEL_WALLS::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE
27f951ce324b9ff47532551a9de48af5f113a252ae9eb28b0a762386920d4d3f,d19f444cba178158e7dc4a41513432f772f8f0efedafb870f34b960f48c12d26,1850310744,0e60e0caccc866c5498e06d0e9b1b4442549a0687b4e92f07608cc5edadbbab7,39767,39767,217775206,e4735ad8a807169b8c2d78eb3d17b366eef4ab0eeef499a833128a959ccd7ab0,SCAN_NOISE_ONLY,3,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,8639b365e59647c3d6cb9542436c41c0738f03f0fb5c4b9170461d3ab94fda93,39791,39791,f6587301a4af07d1a6de3f7bc5907954400fc970c7f0598be232ca63fca86bfe,PARALLEL_WALLS,dev::PARALLEL_WALLS::g1850310744::m217775206::r00::SCAN_NOISE_ONLY
2677a1923f4953500aaccc670b23f03af5b9122278a9f5a0e616326b6f3eea26,d19f444cba178158e7dc4a41513432f772f8f0efedafb870f34b960f48c12d26,1850310744,63d1c0718419daacc66df9d456936bf046acf30d2a367e5f4a80d6b28fb41302,39767,39767,217775206,6f3d5a5802a2b2384675f5186c54cfedfae8e8ff200d6419af14331ab0d28b4d,MAP_NOISE_ONLY,3,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,51902a0a2296578fd94c3fbf1c945739429b612e264ab984de3e302fcc2a2f66,39791,39791,f6587301a4af07d1a6de3f7bc5907954400fc970c7f0598be232ca63fca86bfe,PARALLEL_WALLS,dev::PARALLEL_WALLS::g1850310744::m217775206::r00::MAP_NOISE_ONLY
6330a681a6611656f5fecfbbce15e652175831b3367b01c3bfaf2d24ea05d2d2,87e34e4de28c8cab82df693d2040defa897d7f8f8b1e1c086afcad00b0afbd37,1850310744,0e60e0caccc866c5498e06d0e9b1b4442549a0687b4e92f07608cc5edadbbab7,39767,39767,217775206,06953f7a09bc97d3318cc83025dc65a971d88443967af1595099a9e3c6572e9b,DROPOUT_ONLY,3,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,aac00c31d56c1672147788135bec46546386cbe65a4dbb6b6245c9a5369f0a12,39390,39791,f6587301a4af07d1a6de3f7bc5907954400fc970c7f0598be232ca63fca86bfe,PARALLEL_WALLS,dev::PARALLEL_WALLS::g1850310744::m217775206::r00::DROPOUT_ONLY
149852f9bc7ac48b63e92d37521653185ba9c616bdb9452017dd3c327476f267,045765a60b4145c9ef134e7e6b80115041a173c05d90b49d6ea3bc0829ad7b0d,1850310744,c95ce2373537bc2a71f2b63479bcc7a036b0438fde299a56218d1023593c3c53,39767,39767,217775206,fd7016d591b95de2943178bf0050eb5b2d407074023b49eb21da155cf9da37e2,FULL_NOISE,3,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,6e2151c922576d5268c61d4b84afbfc43aadd7afe2b9816afc4269a5eabfee0e,39388,39791,f6587301a4af07d1a6de3f7bc5907954400fc970c7f0598be232ca63fca86bfe,PARALLEL_WALLS,dev::PARALLEL_WALLS::g1850310744::m217775206::r00::FULL_NOISE
ed3207647a3f9cf5e4a34ddcf3fadde2d66fb6ee1ef8ff75de36d978e58aa39a,94d821115f8076bf2961c3c0c570ab09173b431efacef3e5f533724085d30048,1850310744,dcb922399af273dad25f3a0acf570744da984e8f3b50f6b68e739c91bed5d956,48723,48723,217775206,e246b0705f8abe9b7526930845c0fc63d26c39490b4230f03920c4d1a2162e4a,IDEAL_MATCHED,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,f396c57cd0b0c975b89ce237c82ba4fb37a2e71a000c11b9d2e5a1f1326ee41a,48723,48723,719d5e02a8a74cc98585a96777f6fead61f3d229162b888d018448e5af1faa7d,END_FACE_TRANSITION_PRESENT,dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::IDEAL_MATCHED
0d76448842d85a904a4917611b4780b7dab307b9778e51fb9aaccc64e1701fa9,94df6c766f09a76a358d501adb881209e9c7931336ad5c28da26cd881f1e1ed2,1850310744,dcb922399af273dad25f3a0acf570744da984e8f3b50f6b68e739c91bed5d956,48723,48723,217775206,35b461760a6aa4ac053a6ed9700222ccfdc5ca099a309e93bffeb9bf67d11671,INDEPENDENT_NOISE_FREE,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,2af0b5f5872d2bff43f147e1e2df1fcb7af58d147c044e91097b166743c0e584,48730,48730,2e4620ab7d91dbddec10256ce5145eeb857c79c87f4b5a36f2ce8ec7e07d7deb,END_FACE_TRANSITION_PRESENT,dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE
