scene_variant,noise_condition,registration_backend,trial_count,endpoint_bin_width_translation_m_and_rotation_rad,descriptive_endpoint_bin_count,largest_endpoint_bin_fraction,formal_multi_attractor_claim_authorized
END_FACE_TRANSITION_PRESENT,MAP_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_PRESENT,MAP_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_PRESENT,DROPOUT_ONLY,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_PRESENT,DROPOUT_ONLY,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_PRESENT,DROPOUT_ONLY,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_PRESENT,FULL_NOISE,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_PRESENT,FULL_NOISE,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_PRESENT,FULL_NOISE,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,IDEAL_MATCHED,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,IDEAL_MATCHED,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,IDEAL_MATCHED,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,INDEPENDENT_NOISE_FREE,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,INDEPENDENT_NOISE_FREE,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,INDEPENDENT_NOISE_FREE,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,SCAN_NOISE_ONLY,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,SCAN_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,SCAN_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,MAP_NOISE_ONLY,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,MAP_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,MAP_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,DROPOUT_ONLY,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,DROPOUT_ONLY,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,DROPOUT_ONLY,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,FULL_NOISE,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,FULL_NOISE,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_WEAK,FULL_NOISE,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,IDEAL_MATCHED,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,IDEAL_MATCHED,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,IDEAL_MATCHED,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,INDEPENDENT_NOISE_FREE,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,INDEPENDENT_NOISE_FREE,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,INDEPENDENT_NOISE_FREE,open3d_full,1,0.0001,1,1.0,False
