snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,noise_condition,full_frozen_translation_difference_m,full_frozen_rotation_difference_rad,full_translation_error_m,full_rotation_error_rad,frozen_translation_error_m,frozen_rotation_error_rad
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::MAP_NOISE_ONLY,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,MAP_NOISE_ONLY,1.4442505311749114e-05,6.064209998843996e-08,0.0007811755588273,7.15664224258027e-05,0.0007670124947487,7.15860850079482e-05
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::DROPOUT_ONLY,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,DROPOUT_ONLY,2.297110357729842e-05,8.089672823068057e-07,0.0007367456268677,6.071175297928485e-05,0.0007590834383096,6.151061617392201e-05
dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::FULL_NOISE,END_FACE_TRANSITION_PRESENT,1850310744,217775206,0,FULL_NOISE,3.1208706512640794e-05,1.1002400704360449e-06,0.0008949460592037,4.076524493909842e-05,0.0008640631154972,4.18651261965991e-05
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::IDEAL_MATCHED,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,IDEAL_MATCHED,0.0488217524304579,0.0002093062617636,0.0604855941159574,5.262378307859971e-05,0.0116692882939793,0.0001567170065722
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,0.0095466290075636,4.426578150084523e-06,0.0014891902957622,0.0001896435222873,0.0099646091354713,0.0001852201845699
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,SCAN_NOISE_ONLY,0.0272731724597827,0.000270564900627,0.0405867573314813,5.086938255778338e-05,0.013365804787181,0.0002199575716542
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::MAP_NOISE_ONLY,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,MAP_NOISE_ONLY,0.0222656199251108,0.0002230280913583,0.0235196116849844,2.6765003860825605e-05,0.0019193978477194,0.0001962744597314
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::DROPOUT_ONLY,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,DROPOUT_ONLY,0.0094210992942578,4.150367742150709e-06,0.0014986245536058,0.0001894737111943,0.0098636426500696,0.0001853264654496
dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::FULL_NOISE,END_FACE_TRANSITION_WEAK,1850310744,217775206,0,FULL_NOISE,0.0265800962818368,0.0002647400615136,0.0404718361572234,1.853359285884784e-05,0.0139447935961616,0.0002466881748017
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::IDEAL_MATCHED,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,IDEAL_MATCHED,0.0827968235281944,0.0002291387361999,0.1299956063902019,0.000123468410258,0.0471998153219085,0.0001056786589759
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,0.0921106187351982,0.0003100097489214,0.0016168274903652,0.0003690900019412,0.0934951730467928,5.9081157580240224e-05
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,SCAN_NOISE_ONLY,0.3256554815930713,0.0002740539242665,0.2354152638180742,0.0002038734786194,0.0902433288477822,7.02622430436273e-05
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::MAP_NOISE_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,MAP_NOISE_ONLY,0.1325878309593262,7.022612066391708e-05,0.0456684563013749,0.0001427298870118,0.0869281559011369,7.250948126579275e-05
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::DROPOUT_ONLY,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,DROPOUT_ONLY,0.0923053530787166,0.0003078485714887,0.0014315905263536,0.0003657448934188,0.0934707666623072,5.78970833641212e-05
dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::FULL_NOISE,END_FACE_TRANSITION_ABSENT,1850310744,217775206,0,FULL_NOISE,0.3243191805396744,0.0001787647109963,0.238245448686256,0.0002392343490597,0.0860769797575124,6.057092355207745e-05
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::IDEAL_MATCHED,REPEATED_STRUCTURE,1850310744,217775206,0,IDEAL_MATCHED,0.0041712544389405,0.0005485345571614,0.0064010966677577,0.0007343377972055,0.0022343845826442,0.000186076033526
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,REPEATED_STRUCTURE,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,0.0005618700126945,8.983317134478074e-06,0.0016496657621015,0.0003448127866333,0.00109340396798,0.0003387968689315
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,SCAN_NOISE_ONLY,0.0007515103008493,2.3137504239297715e-05,0.0014825976061598,0.0002760005369125,0.0007410637240784,0.0002529223230424
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::MAP_NOISE_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,MAP_NOISE_ONLY,0.000751688684229,2.355155686984077e-05,0.0017371515575033,0.0003505464910893,0.0009912772213558,0.000327211312608
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::DROPOUT_ONLY,REPEATED_STRUCTURE,1850310744,217775206,0,DROPOUT_ONLY,0.000553642971879,6.266534981039114e-06,0.0016409384302033,0.0003346407445112,0.0010925738993753,0.0003335276971166
dev::REPEATED_STRUCTURE::g1850310744::m217775206::r00::FULL_NOISE,REPEATED_STRUCTURE,1850310744,217775206,0,FULL_NOISE,0.0006081208975842,3.421417710481075e-05,0.001205895232249,0.0003208080394945,0.0006071931296959,0.0002866050083806
