snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,noise_condition,registration_backend,translation_x_m,translation_y_m,translation_z_m,rotation_x_rad,rotation_y_rad,rotation_z_rad,translation_error_m,rotation_error_rad,rotation_error_deg,solver_failure
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::DROPOUT_ONLY,GEOMETRY_RICH_ROOM,1850310744,217775206,0,DROPOUT_ONLY,native_frozen,-0.0006912563987883,-0.000368496973599,-0.0002884182345874,3.1195374832002393e-05,-2.079249984831517e-05,-1.3721545446426256e-05,0.0008347517633764,3.992192718656824e-05,0.0022873579378189,False
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::DROPOUT_ONLY,GEOMETRY_RICH_ROOM,1850310744,217775206,0,DROPOUT_ONLY,open3d_full,-0.000872656337592,-0.0002475293512453,-0.0002910315869821,3.999736643177551e-06,0.0002347676506228,-2.956855569334871e-05,0.0009526275494067,0.0002366561792093,0.0135594002643879,False
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE,GEOMETRY_RICH_ROOM,1850310744,217775206,0,FULL_NOISE,native_full,-0.000702465574586,-0.0003895087948589,-0.0002819867234555,4.120822590680309e-05,-1.0355709919095986e-05,-5.084349967443458e-06,0.0008512881397953,4.279263049762217e-05,0.0024518371217765,False
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE,GEOMETRY_RICH_ROOM,1850310744,217775206,0,FULL_NOISE,native_frozen,-0.000719462529279,-0.000386025499552,-0.0002840339449039,4.275273759983859e-05,-6.679143216488964e-06,-7.049997086962645e-06,0.000864475158231,4.384187479240828e-05,0.0025119543915459,False
dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE,GEOMETRY_RICH_ROOM,1850310744,217775206,0,FULL_NOISE,open3d_full,-0.0007845217050135,-0.0002758765470428,-0.0002725876845968,4.188407811861196e-06,0.0002407009228087,-3.048016218563394e-05,0.0008751492562068,0.000242659261698,0.0139033515550567,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::IDEAL_MATCHED,LONG_CORRIDOR,1850310744,217775206,0,IDEAL_MATCHED,native_full,0.237706172746445,0.0001736113963286,0.0002000619353523,-0.0001040735683431,-8.327917223028003e-08,2.9038433662252803e-06,0.2377063203355301,0.0001041141050453,0.0059652988068795,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::IDEAL_MATCHED,LONG_CORRIDOR,1850310744,217775206,0,IDEAL_MATCHED,native_frozen,0.0439531546158289,0.0001399196169425,7.207482072502103e-05,2.1835011338380288e-05,4.226538480830155e-06,-3.058678689567341e-06,0.0439534364181227,2.244965173456255e-05,0.0012862702959289,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::IDEAL_MATCHED,LONG_CORRIDOR,1850310744,217775206,0,IDEAL_MATCHED,open3d_full,-4.2990896582943807e-17,-5.749238768999526e-19,0.0,-6.116830208080951e-20,1.0399767171070636e-22,-2.59210601333998e-22,4.299474068382783e-17,6.116893970881568e-20,3.50472208260533e-18,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,LONG_CORRIDOR,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,native_full,-0.1468234451307441,0.0001915183122953,0.0001378379225402,-0.0003039204456539,-3.131077874909598e-06,-1.585855274265756e-06,0.1468236347412005,0.0003039407111133,0.0174145199689996,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,LONG_CORRIDOR,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,native_frozen,0.0322823373831072,3.93338037507971e-05,0.0004398466430979,-0.0001007908251171,1.8201436407880107e-06,1.5901841669921426e-06,0.0322853576584544,0.0001008197998229,0.0057765490212116,False
