sweep_type,level,split,independent_sensor_runs,geometry_axial_support_score,realized_axial_point_fraction,axis_information_normalized_median,mean_inverse_axis_information,ODI_trans_median,mean_final_axis_error_squared
geometry,L1,test,4,8.391260516831569,0.7889973958333333,220.64824654267522,0.004584064858832766,0.10502096132551136,5.478109024106181e-06
geometry,L1,train,6,7.456643051267373,0.7865885416666667,200.52076163624437,0.005047584747332791,0.059747742787909064,6.394128267782608e-06
geometry,L2,test,4,6.424696721790749,0.6805989583333334,206.9719187615559,0.0050101032198006795,0.08831095655525817,1.7436306673657877e-06
geometry,L2,train,6,6.0781424493290075,0.6787109375,143.7974246985084,0.007516254461967657,0.12648897157032996,3.705441187136947e-06
geometry,L3,test,4,3.6424317498900454,0.4828776041666667,99.10910633069803,0.012909982773996461,0.1400829151464406,9.247534966292427e-06
geometry,L3,train,6,3.591589894806395,0.48222656249999996,53.739157850164474,0.01837355082413137,0.2244540578646182,2.7529531022378854e-05
geometry,L4,test,4,1.4199730950938112,0.23671875,22.052135393958693,0.0720296697528673,0.3826941496637947,0.0003113696822179738
geometry,L4,train,6,1.4013881600591838,0.23678385416666667,27.749890924709455,0.07153409633924329,0.40299031714265127,0.0006029983935685755
geometry,OC,test,4,0.0,0.0,250.5905930741682,0.004001302816440102,0.08681697338580757,3.3897007074406537e-06
geometry,OC,train,6,0.0,0.0,244.2697824904489,0.004097020195888687,0.06307691368278612,9.780578317492278e-07
observation,O1,test,4,9.109613731043524,0.8314453125000001,204.7086607705604,0.00491263540007349,0.06539934554631127,4.068088036768501e-06
observation,O1,train,6,7.814842457602903,0.8310546875,176.50432484531592,0.005686808226719815,0.03911830162543256,2.267768568854469e-06
observation,O2,test,4,9.109613731043524,0.6617838541666667,163.8175544739366,0.0061471604302364554,0.03356433036393658,3.3739648100463076e-06
observation,O2,train,6,7.814842457602903,0.659765625,140.65500501756122,0.0071552833360017595,0.03495965532356915,1.7608192151378354e-06
observation,O3,test,4,9.109613731043524,0.3264973958333333,77.1969892470382,0.012796469460880103,0.17219791088720526,7.343479801675251e-06
observation,O3,train,6,7.814842457602903,0.32688802083333335,68.00653405318386,0.014871050404150528,0.19991494995943632,1.4056326529869213e-05
observation,O4,test,4,9.109613731043524,0.08671875,20.580564602220562,0.052848730343420885,0.405858621320322,1.4720356616553804e-05
observation,O4,train,6,7.814842457602903,0.08997395833333333,18.504821797476332,0.05983907789230179,0.4119235479034968,3.734097313568821e-05
