scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,candidate_anchor,anchor_pose,anchor_translation_error_to_gt_m,anchor_rotation_error_to_gt_rad,anchor_absolute_accuracy_valid,source_condition,full_solver_converged,full_finite_output,deterministic_recheck_pass,full_method_self_consistent,frozen_method_consistent_to_common_anchor,frozen_translation_distance_to_anchor_m,frozen_rotation_distance_to_anchor_rad,conditions_1_to_4_pass,repeat_cluster_count,multiple_attractors,snapshot_anchor_eligible
END_FACE_TRANSITION_ABSENT,1101,2101,4,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101::r04,GT_REFERENCE_ANCHOR,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]",0.0,0.0,true,LOCKED_FULL_NOISE,false,true,true,false,true,0.010696625635271535,6.0507884816762436e-05,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2101,4,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101::r04,FULL_ZERO_SOLUTION_ANCHOR,"[0.0,0.04031833748647219,-0.0003484239785715173,1.500104466492009,-1.6839045969311713e-05,-8.282613724395887e-07,-1.2363595490089196e-07,0.9999999998578727]",0.04031997830095975,3.371971363662191e-05,false,LOCKED_FULL_NOISE,false,true,true,false,false,0.051006999999943715,9.418060737726396e-05,false,2,true,false
END_FACE_TRANSITION_ABSENT,1101,2101,4,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101,dev::END_FACE_TRANSITION_ABSENT::g1101::m2101::r04,NOISE_FREE_FULL_SOLUTION_ANCHOR,"[0.0,0.12029089065660065,-0.000451348171902514,1.500106124476184,-7.280185042867687e-05,-6.258980288898866e-07,-7.266955077134309e-07,0.9999999973494854]",0.1202917842270825,0.00014561633520879323,false,NOISE_FREE,false,true,true,false,false,0.13507629546751337,0.00018524257987039537,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,0,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r00,GT_REFERENCE_ANCHOR,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]",0.0,0.0,true,LOCKED_FULL_NOISE,true,true,true,false,true,0.011787288678004859,4.1508190023494e-05,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,0,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r00,FULL_ZERO_SOLUTION_ANCHOR,"[0.0,0.03985535537087393,-0.0004025975181558963,1.5001189391251184,-2.8790418825563786e-05,-3.695342342036089e-07,-3.796391951001604e-07,0.9999999995854156]",0.039857566195338104,5.759058596157035e-05,false,LOCKED_FULL_NOISE,true,true,true,true,false,0.05163339380923777,9.909296642922879e-05,false,2,true,false
END_FACE_TRANSITION_ABSENT,1101,2111,0,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r00,NOISE_FREE_FULL_SOLUTION_ANCHOR,"[0.0,0.12029089065660065,-0.000451348171902514,1.500106124476184,-7.280185042867687e-05,-6.258980288898866e-07,-7.266955077134309e-07,0.9999999973494854]",0.1202917842270825,0.00014561633520879323,false,NOISE_FREE,false,true,true,false,false,0.13507629546751337,0.00018524257987039537,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,1,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r01,GT_REFERENCE_ANCHOR,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]",0.0,0.0,true,LOCKED_FULL_NOISE,false,true,true,false,true,0.011902080581264095,9.152806296488761e-05,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,1,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r01,FULL_ZERO_SOLUTION_ANCHOR,"[0.0,0.12988112650528053,-0.00034387772504741265,1.5000884323943668,-2.915137494851497e-05,-3.3112955023285654e-07,-1.1561996008277464e-08,0.9999999995750438]",0.12988161184116417,5.830651565952056e-05,false,LOCKED_FULL_NOISE,false,true,true,false,false,0.141776459006633,0.00014982147192823758,false,2,true,false
END_FACE_TRANSITION_ABSENT,1101,2111,1,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r01,NOISE_FREE_FULL_SOLUTION_ANCHOR,"[0.0,0.12029089065660065,-0.000451348171902514,1.500106124476184,-7.280185042867687e-05,-6.258980288898866e-07,-7.266955077134309e-07,0.9999999973494854]",0.1202917842270825,0.00014561633520879323,false,NOISE_FREE,false,true,true,false,false,0.13507629546751337,0.00018524257987039537,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,2,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r02,GT_REFERENCE_ANCHOR,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]",0.0,0.0,true,LOCKED_FULL_NOISE,false,true,true,false,true,0.01271346330980215,3.30481895600601e-05,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,2,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r02,FULL_ZERO_SOLUTION_ANCHOR,"[0.0,0.12981190577295243,-0.0003750025565253561,1.5000552318133251,-5.7942106304621805e-05,4.3935122383596563e-07,-1.6985166628314319e-06,0.9999999983198171]",0.12981245917814083,0.00011593732229324457,false,LOCKED_FULL_NOISE,false,true,true,false,false,0.14251833324569899,0.0001489190491803221,false,2,true,false
END_FACE_TRANSITION_ABSENT,1101,2111,2,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r02,NOISE_FREE_FULL_SOLUTION_ANCHOR,"[0.0,0.12029089065660065,-0.000451348171902514,1.500106124476184,-7.280185042867687e-05,-6.258980288898866e-07,-7.266955077134309e-07,0.9999999973494854]",0.1202917842270825,0.00014561633520879323,false,NOISE_FREE,false,true,true,false,false,0.13507629546751337,0.00018524257987039537,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,3,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r03,GT_REFERENCE_ANCHOR,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]",0.0,0.0,true,LOCKED_FULL_NOISE,true,true,true,false,true,0.011602234020174174,6.456363953782431e-05,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,3,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r03,FULL_ZERO_SOLUTION_ANCHOR,"[0.0,0.03904294922716643,-0.00033775182125021666,1.5001666784121046,-1.7188821904626398e-05,-2.340118029936248e-08,-1.495891060069282e-06,0.9999999998511531]",0.03904476587637472,3.4507612851505065e-05,false,LOCKED_FULL_NOISE,true,true,true,true,false,0.0506367283193608,9.898020322890928e-05,false,2,true,false
END_FACE_TRANSITION_ABSENT,1101,2111,3,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r03,NOISE_FREE_FULL_SOLUTION_ANCHOR,"[0.0,0.12029089065660065,-0.000451348171902514,1.500106124476184,-7.280185042867687e-05,-6.258980288898866e-07,-7.266955077134309e-07,0.9999999973494854]",0.1202917842270825,0.00014561633520879323,false,NOISE_FREE,false,true,true,false,false,0.13507629546751337,0.00018524257987039537,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,4,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r04,GT_REFERENCE_ANCHOR,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]",0.0,0.0,true,LOCKED_FULL_NOISE,false,true,true,false,true,0.012457202119815996,8.162217340751274e-05,false,1,false,false
END_FACE_TRANSITION_ABSENT,1101,2111,4,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r04,FULL_ZERO_SOLUTION_ANCHOR,"[0.0,0.04771688261116018,-0.00034956589808149326,1.5001205023933764,6.294127873809122e-06,-2.3454070159234082e-07,-1.3440988123475297e-06,0.9999999999792613]",0.04771831517636757,1.2880629899269966e-05,false,LOCKED_FULL_NOISE,false,true,true,false,false,0.060166642063837664,6.910596983883833e-05,false,2,true,false
END_FACE_TRANSITION_ABSENT,1101,2111,4,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111::r04,NOISE_FREE_FULL_SOLUTION_ANCHOR,"[0.0,0.12029089065660065,-0.000451348171902514,1.500106124476184,-7.280185042867687e-05,-6.258980288898866e-07,-7.266955077134309e-07,0.9999999973494854]",0.1202917842270825,0.00014561633520879323,false,NOISE_FREE,false,true,true,false,false,0.13507629546751337,0.00018524257987039537,false,1,false,false
END_FACE_TRANSITION_ABSENT,1103,2101,0,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101::r00,GT_REFERENCE_ANCHOR,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]",0.0,0.0,true,LOCKED_FULL_NOISE,false,true,true,false,false,0.039026544189141685,4.6010096811237624e-05,false,1,false,false
