scene_variant,geometry_seed,measurement_seed,block_id,candidate_anchor,repeat_count,pair_count,median_pairwise_translation_m,q95_pairwise_translation_m,maximum_pairwise_translation_m,median_pairwise_rotation_rad,q95_pairwise_rotation_rad,maximum_pairwise_rotation_rad,cluster_count,multiple_attractors
END_FACE_TRANSITION_PRESENT,1103,2101,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.00029682598502581034,0.0006297599873707706,0.0006965788730915265,2.1686353496956142e-05,2.7932991825625118e-05,2.9166571266101005e-05,1,false
END_FACE_TRANSITION_PRESENT,1103,2101,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_PRESENT,1103,2101,dev::END_FACE_TRANSITION_PRESENT::g1103::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_PRESENT,1103,2111,dev::END_FACE_TRANSITION_PRESENT::g1103::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.00018537832631681362,0.0004138486548205831,0.0004658756572556702,3.126637300117555e-05,3.931171860361331e-05,3.952290300568723e-05,1,false
END_FACE_TRANSITION_PRESENT,1103,2111,dev::END_FACE_TRANSITION_PRESENT::g1103::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_PRESENT,1103,2111,dev::END_FACE_TRANSITION_PRESENT::g1103::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_PRESENT,1107,2101,dev::END_FACE_TRANSITION_PRESENT::g1107::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.00012452000527513437,0.00018577646276306844,0.0001861470610748176,2.691166624245487e-05,5.5606543558624295e-05,6.563330427030051e-05,1,false
END_FACE_TRANSITION_PRESENT,1107,2101,dev::END_FACE_TRANSITION_PRESENT::g1107::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_PRESENT,1107,2101,dev::END_FACE_TRANSITION_PRESENT::g1107::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_PRESENT,1107,2111,dev::END_FACE_TRANSITION_PRESENT::g1107::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,9.079013395981659e-05,0.00016099431104582825,0.00017113931140513852,1.7612948638770707e-05,3.7018424230278304e-05,4.0023216786044885e-05,1,false
