scene_id,scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,method,signed_amplitude,reference_pose,zero_initial_pose,zero_final_pose,zero_translation_shift_from_reference_m,zero_rotation_shift_from_reference_rad,zero_initial_cost,zero_final_cost,zero_gradient_norm_at_reference,zero_correspondence_count_initial,zero_correspondence_count_final,zero_correspondence_checksum_initial,zero_correspondence_checksum_final,zero_iteration_count,zero_solver_converged,zero_success_under_current_gt_rule,zero_block_success_rate,directionality_interpretation_eligible,zero_runtime_ms,zero_finite_output,zero_iteration_limit_not_failed,zero_termination_reason,zero_failure_reason,deterministic_recheck_translation_difference_m,deterministic_recheck_rotation_difference_rad,deterministic_recheck_pass,base_snapshot_checksum,scan_checksum,map_checksum,dropout_checksum
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,0,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r00,full_reassociation,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.00040659979183819836,-0.0004408229701108772,1.4999178953241292,-4.5105607113107355e-05,1.3037238612117042e-05,-2.361377094822189e-06,0.9999999988949693]",0.0006053011312562423,9.402258211904949e-05,0.8906411661572681,0.8899787910287467,20.33851303823808,43786,43786,0534c371a7c04f1a81ca4e4312bb8988971fbbf517425cddde802624de08bb24,2f482a983e9653ef9dcf447d649f0923eb4e701f3e7c230b78700538d9a8284a,2,true,true,1.0,true,1103.7477200006833,true,true,converged_step,,0.0,0.0,true,aa16c3e32dd1a37c5a14f6c3d61419dab1ca7a525bde51ceb68e3b4e709cf3c2,f0fa66ea228d38e74b19704e1d3cb4335a2ee9d77d3e1e7d155b54c2c3fb3645,5a518c96aa7ef625d4f01744e6cf3a72ad82371f6a5bcafb14f952102cc259df,be6ebd6da1c3b8fd2886339014f181f1a0788d7795c64bc5df8b5e8df04d96b7
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,0,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r00,frozen_jacobian,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.00040965235163442534,-0.00044476640331101016,1.499916155884339,-4.386096021063381e-05,1.3054428730766616e-05,-1.792333848790422e-06,0.9999999989512928]",0.0006104605134198271,9.159507415090333e-05,0.8906411661572681,0.8879575186060368,20.33851303823808,43786,43786,0534c371a7c04f1a81ca4e4312bb8988971fbbf517425cddde802624de08bb24,0534c371a7c04f1a81ca4e4312bb8988971fbbf517425cddde802624de08bb24,2,true,true,1.0,true,11.936881000110589,true,true,converged_step,,0.0,0.0,true,aa16c3e32dd1a37c5a14f6c3d61419dab1ca7a525bde51ceb68e3b4e709cf3c2,f0fa66ea228d38e74b19704e1d3cb4335a2ee9d77d3e1e7d155b54c2c3fb3645,5a518c96aa7ef625d4f01744e6cf3a72ad82371f6a5bcafb14f952102cc259df,be6ebd6da1c3b8fd2886339014f181f1a0788d7795c64bc5df8b5e8df04d96b7
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,1,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r01,full_reassociation,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.00036706373624104355,-0.00047699589812587496,1.4998626202858887,-4.5473144927892403e-05,1.2459520197212932e-05,-1.3989797240194716e-05,0.9999999987906195]",0.0006173605584595213,9.836180116182823e-05,0.8970200150870561,0.8970691941819131,21.305057565622665,43759,43758,5259360354f7d3403e0d79683ddef39b1f2248a750e0822304c2118388fc0ec3,d0f97fcea94896bd494304c0fb886c71522882dab68f1a78b4f5964456c9d6a0,3,true,true,1.0,true,1613.2033530002445,true,true,converged_step,,0.0,0.0,true,357ff77ca3c3c9f83cdd86f5634c08a41f0c97d5bb57b3602bca821756b58f51,809b46ce97efcbe15d87ac81216854e0394805651d20ca6f803d9940587d2909,2fe5093b1700e6f10171e18a7cce8471bf6d52342b1197861904113b45922410,e1abff2d617150827ac6ce3a4d3671ced3910aea88293b8f84b7081e133e7efc
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,1,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r01,frozen_jacobian,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0003813434887760399,-0.0004784073519172265,1.4998595702470288,-4.479497693020727e-05,1.2888478791069033e-05,-1.4967180032578325e-05,0.9999999988016405]",0.0006277077077110792,9.791260028756265e-05,0.8970200150870561,0.8940336788784204,21.305057565622665,43759,43759,5259360354f7d3403e0d79683ddef39b1f2248a750e0822304c2118388fc0ec3,5259360354f7d3403e0d79683ddef39b1f2248a750e0822304c2118388fc0ec3,2,true,true,1.0,true,9.349103000204195,true,true,converged_step,,0.0,0.0,true,357ff77ca3c3c9f83cdd86f5634c08a41f0c97d5bb57b3602bca821756b58f51,809b46ce97efcbe15d87ac81216854e0394805651d20ca6f803d9940587d2909,2fe5093b1700e6f10171e18a7cce8471bf6d52342b1197861904113b45922410,e1abff2d617150827ac6ce3a4d3671ced3910aea88293b8f84b7081e133e7efc
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,2,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r02,full_reassociation,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.00035033236033127216,-0.0005203321534247273,1.499877838060797,-4.99424020438987e-05,1.3096020152724644e-05,-6.561141889266293e-06,0.9999999986456011]",0.0006390632613229346,0.00010409222547514168,0.9036942207999537,0.9038019495416103,22.188254303045206,43745,43745,17576fc124fe2500bc8985cc8974f20e2366b2f5a7f672b5020055863c4cbbc9,9c9ddd71a12c8c46606f8cba06f1356d072e039a8c63e34d9c760ba1a42dd375,2,true,true,1.0,true,1157.1260580003582,true,true,converged_step,,0.0,0.0,true,e373e7dd9fdd2ed042bd05a2569165f4fa9b80b64c97682fc00ba7ea3d541e1d,ed8bd85469e8e227bbc45105385479fbc05322378e77b40e92c0642807652105,086b22d38d2c478a323784f30040988ceeac9f59f5345cedca458814af95929b,b111120635c20a0d2f8b8518710765e449efc8bbb384149289f8b6f3266a50ba
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,2,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r02,frozen_jacobian,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0003495249569665436,-0.0005213155437564349,1.4998745701704492,-4.88324972140848e-05,1.361427721042394e-05,-6.481121711835147e-06,0.9999999986940169]",0.0006400548678399901,0.00010221479871415122,0.9036942207999537,0.9005574981862077,22.188254303045206,43745,43745,17576fc124fe2500bc8985cc8974f20e2366b2f5a7f672b5020055863c4cbbc9,17576fc124fe2500bc8985cc8974f20e2366b2f5a7f672b5020055863c4cbbc9,2,true,true,1.0,true,21.575320000010834,true,true,converged_step,,0.0,0.0,true,e373e7dd9fdd2ed042bd05a2569165f4fa9b80b64c97682fc00ba7ea3d541e1d,ed8bd85469e8e227bbc45105385479fbc05322378e77b40e92c0642807652105,086b22d38d2c478a323784f30040988ceeac9f59f5345cedca458814af95929b,b111120635c20a0d2f8b8518710765e449efc8bbb384149289f8b6f3266a50ba
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,3,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r03,full_reassociation,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.00037816869242447037,-0.0005251653137928166,1.4999040072877166,-3.9840173455655815e-05,1.8727226848420425e-05,1.1582933288311292e-06,0.999999999030355]",0.0006542360182324672,8.807474305606962e-05,0.9041285248821715,0.9037346342780681,19.881350779184075,43773,43772,f36dfa2912a4c7f405447fb002c5b79cce0122d45f8d3e3ba8647f748790bd02,4dbbfa0a6949bf3c7d44102728a7dc88ff1215628d3dfd1bdddbb71c17f22ac6,3,true,true,1.0,true,1269.730685000468,true,true,converged_step,,0.0,0.0,true,46bc8cce04bc69ee3a41bb91614770a34d04b2ff76b93ec4426ffa167b448066,14d21f9fef35d10f733c7a337ca1cc613f4ac4195ab0a1810c6bda65652ea68b,8ca2b9af0291709f89212bc8ab33be50a08eaf3319f58fc6e5751a478e08ab9f,454bd141f68c589282c8963fd968cf4fe988328284275256278041efcfa970fb
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,3,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r03,frozen_jacobian,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.000366635893237003,-0.0005256180700708659,1.4998935802190043,-3.7590352207784304e-05,1.8339351976737268e-05,1.6479247497959207e-06,0.999999999123959]",0.0006496317445921848,8.371575878020065e-05,0.9041285248821715,0.9012433929101276,19.881350779184075,43773,43773,f36dfa2912a4c7f405447fb002c5b79cce0122d45f8d3e3ba8647f748790bd02,f36dfa2912a4c7f405447fb002c5b79cce0122d45f8d3e3ba8647f748790bd02,2,true,true,1.0,true,8.624655999483366,true,true,converged_step,,0.0,0.0,true,46bc8cce04bc69ee3a41bb91614770a34d04b2ff76b93ec4426ffa167b448066,14d21f9fef35d10f733c7a337ca1cc613f4ac4195ab0a1810c6bda65652ea68b,8ca2b9af0291709f89212bc8ab33be50a08eaf3319f58fc6e5751a478e08ab9f,454bd141f68c589282c8963fd968cf4fe988328284275256278041efcfa970fb
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,4,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r04,full_reassociation,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.00036511934479779807,-0.00043339953317825676,1.4999025390807803,-4.659891866651682e-05,1.1547435238655168e-05,-6.917826667067757e-06,0.9999999988236706]",0.0005750181928251071,9.700842868782442e-05,0.9030368230348851,0.9033960840549544,20.649655463248212,43765,43765,a8ebb9422ea4f5bdf84f08d94630322596b336e3b2c393ec360d792c40a7fda9,8085013f39ffe23a0a246f82edab056ac93a6117a1d9f1a3d9e8446660cd7464,2,true,true,1.0,true,943.0610949993934,true,true,converged_step,,0.0,0.0,true,104b750a3787ca91b324b756006b98d4f84d6a8b9b79810b683c521211aaf89d,5af853f918057f5554ee60ee9d6d3df2657a6bfb6f6d5d2bf1407caa2cc12bde,3de86b0a19e9e9553f2d04a3337368ed77205bc5f2527f687e2eed709fe5d6d6,b5a24b883e97bde1c7b8f58f2e06ccd392ab26f27d2e6b75f81173d59f00c6dc
dev::GEOMETRY_RICH_ROOM::g1101,GEOMETRY_RICH_ROOM,1101,2111,4,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r04,frozen_jacobian,0.0,"[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0]","[0.0,0.00036517671018065803,-0.0004314291302184403,1.4999001374517709,-4.5868916120722694e-05,1.1230122256583295e-05,-7.586251000678364e-06,0.999999998856188]",0.0005739840177202014,9.56582315951409e-05,0.9030368230348851,0.9004791730850455,20.649655463248212,43765,43765,a8ebb9422ea4f5bdf84f08d94630322596b336e3b2c393ec360d792c40a7fda9,a8ebb9422ea4f5bdf84f08d94630322596b336e3b2c393ec360d792c40a7fda9,2,true,true,1.0,true,8.325622000484145,true,true,converged_step,,0.0,0.0,true,104b750a3787ca91b324b756006b98d4f84d6a8b9b79810b683c521211aaf89d,5af853f918057f5554ee60ee9d6d3df2657a6bfb6f6d5d2bf1407caa2cc12bde,3de86b0a19e9e9553f2d04a3337368ed77205bc5f2527f687e2eed709fe5d6d6,b5a24b883e97bde1c7b8f58f2e06ccd392ab26f27d2e6b75f81173d59f00c6dc
