scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,method,reference_cost,reference_gradient_norm,reference_gradient_norm_per_sqrt_correspondence,one_step_translation_m,one_step_rotation_rad,final_translation_shift_m,final_rotation_shift_rad,correspondence_changed,plane_fit_changed,deterministic_recheck_pass,reference_pose_not_registration_fixed_point
GEOMETRY_RICH_ROOM,1101,2111,4,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r04,full_reassociation,0.9030368230348851,20.649655463248212,0.09870731612624166,0.0005731471080039824,9.552607355765594e-05,0.0005750181928251071,9.700842868782442e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1101,2111,4,dev::GEOMETRY_RICH_ROOM::g1101::m2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111::r04,frozen_jacobian,0.9030368230348851,20.649655463248212,0.09870731612624166,0.0005731471080039824,9.552607355765594e-05,0.0005739840177202014,9.56582315951409e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2101,0,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r00,full_reassociation,0.7492286948560936,8.337946957244782,0.03985708980070287,0.0002824008995967944,3.410294433328458e-05,0.00028241761580238096,3.3882634662560555e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2101,0,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r00,frozen_jacobian,0.7492286948560936,8.337946957244782,0.03985708980070287,0.0002824008995967944,3.410294433328458e-05,0.00028244191321352685,3.410569958068875e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2101,1,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r01,full_reassociation,0.7492179706656906,5.869582891501744,0.02806838995250218,0.0003131686545373033,2.5991503554684216e-05,0.00031524768200697775,2.675747370632888e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2101,1,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r01,frozen_jacobian,0.7492179706656906,5.869582891501744,0.02806838995250218,0.0003131686545373033,2.5991503554684216e-05,0.0003132045616704329,2.5993550628568704e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2101,2,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r02,full_reassociation,0.7360836884931129,5.537537441669145,0.026477216213057358,0.00027937111905179386,2.354287752557214e-05,0.0002841519459279842,2.4401511586907025e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2101,2,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r02,frozen_jacobian,0.7360836884931129,5.537537441669145,0.026477216213057358,0.00027937111905179386,2.354287752557214e-05,0.0002794179864640891,2.354460426094958e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2101,3,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r03,full_reassociation,0.7477005492241313,5.835066262829729,0.027900460245713243,0.00030971440524897603,2.1527002544412752e-05,0.0003141750810096909,2.1110920007038894e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2101,3,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r03,frozen_jacobian,0.7477005492241313,5.835066262829729,0.027900460245713243,0.00030971440524897603,2.1527002544412752e-05,0.00030974424768742274,2.1529032937404506e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2101,4,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r04,full_reassociation,0.7411256218411629,8.617136144174168,0.04119167114931183,0.00031870303864388615,3.700667359676905e-05,0.0003250292553899559,3.7191524211124646e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2101,4,dev::GEOMETRY_RICH_ROOM::g1103::m2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101::r04,frozen_jacobian,0.7411256218411629,8.617136144174168,0.04119167114931183,0.00031870303864388615,3.700667359676905e-05,0.0003187352969609584,3.70096568959103e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2111,0,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r00,full_reassociation,0.7494014583674637,8.86321912555267,0.042363158283025455,0.00026833212006181805,4.282594888744949e-05,0.00028221207717387417,4.4856028328044465e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2111,0,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r00,frozen_jacobian,0.7494014583674637,8.86321912555267,0.042363158283025455,0.00026833212006181805,4.282594888744949e-05,0.00026836145311387883,4.282758135620162e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2111,1,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r01,full_reassociation,0.744961659785303,8.965715037394432,0.04286186728374912,0.000291908220521806,3.8150217883080866e-05,0.00029723670139313296,3.855054234075224e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2111,1,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r01,frozen_jacobian,0.744961659785303,8.965715037394432,0.04286186728374912,0.000291908220521806,3.8150217883080866e-05,0.000292017743161182,3.8155178557279995e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2111,2,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r02,full_reassociation,0.7498173745579503,6.82350163478972,0.03263302171725782,0.000321403375468644,3.103884715053274e-05,0.000322530013198378,3.169292869455336e-05,true,true,true,true
