backend,count,median,q95_linear,maximum
open3d_point_to_plane,3,0.0,4.748726365673946e-10,5.276362628526608e-10
pcl_point_to_plane,3,1.4692796620711302e-09,5.094494978337329e-09,5.497296680144685e-09
