backend,count,median,q95_linear,maximum
open3d_point_to_plane,3,0.0,1.560297664473698e-10,1.7336640716374422e-10
pcl_point_to_plane,3,1.476578570471183e-09,5.103499809791243e-09,5.506491058604584e-09
