test_id,point_cloud_rank,jacobian_rank,condition_status,eigenvalue_0,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5
A,3,6,FULL_RANK,118.01923246777201,119.47448076977795,124.16784961960747,230.02167799584092,294.94216489723243,306.6338104993603
B,3,6,FULL_RANK,115.85113122084158,117.75905396215076,122.29245306394479,241.7930878053705,290.84483118581545,305.9428763541642
C,2,3,RANK_DEFICIENT,0.0,0.0,0.0,3.359999963045121,3.359999963045123,64.0
