sweep_type,severe_levels,primary_direction_axis_alignment_median,primary_direction_axis_alignment_p10,primary_direction_stable_rate,degeneracy_trigger_rate,actionable_direction_rate,L3_trigger_rate,L4_trigger_rate,O3_trigger_rate,O4_trigger_rate
geometry,"L3,L4",0.9991019855714296,0.9811575027436154,1.0,0.9981249999999999,0.9981249999999999,0.9962500000000001,1.0,,
observation,"O3,O4",0.9997937505807528,0.99768832970652,1.0,1.0,1.0,,,1.0,1.0
