gate,status
engineering,ENGINEERING_PASS
geometry_mechanism,GEOMETRY_MECHANISM_PASS
observation_mechanism,OBSERVATION_MECHANISM_PASS
detector,DETECTOR_PASS
WEAK_UPDATE_AUTHORIZED,True
RISK_WARNING_AUTHORIZED,False
