sweep_type,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,bootstrap_blocks,median_per_geometry_kendall_tau,positive_direction_geometry_ratio,per_geometry_kendall_tau,paired_monotonic_rate,sensor_run_count
geometry,0.942176809403709,0.9218312518454731,0.9655976199837204,10,0.9258200997725515,1.0,1709:0.9258201;1823:0.9258201;1907:0.9258201;2011:0.9258201;2129:0.9258201;2237:0.9258201;2341:0.9258201;2459:0.848668425;2579:0.9258201;2687:0.9258201,1.0,80
observation,0.876330948109308,0.8274112044348181,0.9298524092933007,10,0.8486684247915055,1.0,1709:0.77151675;1823:0.9258201;1907:0.9258201;2011:0.6172134;2129:0.6172134;2237:0.9258201;2341:0.9258201;2459:0.9258201;2579:0.77151675;2687:0.6172134,0.8666666666666667,80
