scene_variant,direction_id,role,offline_analysis_only
END_FACE_TRANSITION_ABSENT,ico_06,supplemental,true
END_FACE_TRANSITION_ABSENT,ico_07,supplemental,true
END_FACE_TRANSITION_ABSENT,ico_08,supplemental,true
END_FACE_TRANSITION_ABSENT,ico_09,supplemental,true
END_FACE_TRANSITION_ABSENT,ico_10,supplemental,true
END_FACE_TRANSITION_ABSENT,ico_11,supplemental,true
REPEATED_STRUCTURE,pos_x,weak,true
REPEATED_STRUCTURE,neg_x,weak,true
REPEATED_STRUCTURE,pos_y,strong,true
REPEATED_STRUCTURE,neg_y,strong,true
REPEATED_STRUCTURE,pos_z,strong,true
REPEATED_STRUCTURE,neg_z,strong,true
REPEATED_STRUCTURE,ico_00,supplemental,true
REPEATED_STRUCTURE,ico_01,supplemental,true
REPEATED_STRUCTURE,ico_02,supplemental,true
REPEATED_STRUCTURE,ico_03,supplemental,true
REPEATED_STRUCTURE,ico_04,supplemental,true
REPEATED_STRUCTURE,ico_05,supplemental,true
REPEATED_STRUCTURE,ico_06,supplemental,true
REPEATED_STRUCTURE,ico_07,supplemental,true
REPEATED_STRUCTURE,ico_08,supplemental,true
REPEATED_STRUCTURE,ico_09,supplemental,true
REPEATED_STRUCTURE,ico_10,supplemental,true
REPEATED_STRUCTURE,ico_11,supplemental,true
