scene_variant,geometry_seed,measurement_seed,block_id,perturbation_type,direction_id,registration_path,bootstrap_repetitions,bootstrap_seed,curve_subseed,uncensored_count,uncensored_fraction,mean_d50,sample_std_ddof_1,cv,eligible,reason
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,ico_07,full_reassociation,500,161803,41987605438404199648613333156285852196,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,ico_08,full_reassociation,500,161803,127470468161179400179417212214751119999,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,ico_09,full_reassociation,500,161803,204898863555566572434068553751699809331,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,ico_10,full_reassociation,500,161803,2919409434576376854785985119649446353,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,ico_11,full_reassociation,500,161803,203554276855778402660227842952941987229,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,neg_x,full_reassociation,500,161803,133897110932290348133049814711374870417,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,neg_y,full_reassociation,500,161803,211252962894674582071414727293053096186,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,neg_z,full_reassociation,500,161803,83842500741284978677860805116198394594,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,pos_x,full_reassociation,500,161803,15283531179176796841056531667576412725,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,pos_y,full_reassociation,500,161803,16774786093252671250730503477488172891,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1101,2111,dev::END_FACE_TRANSITION_ABSENT::g1101::m2111,translation,pos_z,full_reassociation,500,161803,200846461190562956955988049772176948205,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_00,full_reassociation,500,161803,326048789882163571849064782940643354563,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_01,full_reassociation,500,161803,318850260575015708653464432767494006926,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_02,full_reassociation,500,161803,154716623342707020336661432561671208822,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_03,full_reassociation,500,161803,55011405553881578983769873012206524268,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_04,full_reassociation,500,161803,190658464391013547592117341249904181760,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_05,full_reassociation,500,161803,98129137481571409495120791914149913894,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_06,full_reassociation,500,161803,280827562299119643248894439071504280861,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_07,full_reassociation,500,161803,111962478710812891289012999426326894517,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_08,full_reassociation,500,161803,178576625510282804372388465597017050796,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_09,full_reassociation,500,161803,268751927138951674217169114804618321835,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_10,full_reassociation,500,161803,264219401114801846810938823608769686363,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,ico_11,full_reassociation,500,161803,120053757247724984164060359272516646777,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_x,full_reassociation,500,161803,229724152303980745960153645632234001988,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_y,full_reassociation,500,161803,6333641667519408633521629516019996715,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,neg_z,full_reassociation,500,161803,301554447355684581741614825232435240630,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_x,full_reassociation,500,161803,186350558169534132337366339549492326281,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_y,full_reassociation,500,161803,295711833402679785849700228228092389571,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2101,dev::END_FACE_TRANSITION_ABSENT::g1103::m2101,translation,pos_z,full_reassociation,500,161803,77276837110014773009965653713016798015,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_00,full_reassociation,500,161803,218204676953717598676911247618650661920,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_01,full_reassociation,500,161803,20217470787801868571195206582255511926,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_02,full_reassociation,500,161803,131009395228908666540129083600799471154,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_03,full_reassociation,500,161803,213221905632520010019205971800530352803,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_04,full_reassociation,500,161803,242216196038233595048442729029145409538,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_05,full_reassociation,500,161803,194099051812100805851928094188389463284,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_06,full_reassociation,500,161803,276467626793039322871189568384325826030,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_07,full_reassociation,500,161803,92370707103625118408364749405950812656,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_08,full_reassociation,500,161803,177798088868902526199766544402966751639,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_09,full_reassociation,500,161803,228850593578882650899019291850360226018,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_10,full_reassociation,500,161803,283548340461340618916327840568722363845,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,ico_11,full_reassociation,500,161803,247328024759733391355687488884936159950,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_x,full_reassociation,500,161803,302657347405662355254569511082946240288,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_y,full_reassociation,500,161803,89441637325345462683055510647887657801,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,neg_z,full_reassociation,500,161803,64866446140947188717899769977517834241,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_x,full_reassociation,500,161803,246665066818773306319370798665242441597,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_y,full_reassociation,500,161803,81762952604057022825730647255961614410,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1103,2111,dev::END_FACE_TRANSITION_ABSENT::g1103::m2111,translation,pos_z,full_reassociation,500,161803,162441617492267494789343079039521992598,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_00,full_reassociation,500,161803,53049282066700217251362194382033372502,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_01,full_reassociation,500,161803,329107883856781067808795329090664642035,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_02,full_reassociation,500,161803,261086564732326040405699747053741456370,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_03,full_reassociation,500,161803,46646295457550679353952774315311622848,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_04,full_reassociation,500,161803,42923251207780651324074131782197410694,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_05,full_reassociation,500,161803,155318811587341185510358588276486434170,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_06,full_reassociation,500,161803,320801869322894971656148803959290901856,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_07,full_reassociation,500,161803,72072511980441580426705260989617339028,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_08,full_reassociation,500,161803,39448080573535949392176795148418165380,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_09,full_reassociation,500,161803,193715511548810703727156598826982979332,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_10,full_reassociation,500,161803,337915935144298726069584520441594227963,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,ico_11,full_reassociation,500,161803,71977149969414484052464269681960323884,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,neg_x,full_reassociation,500,161803,39988805493063236460965071980059593266,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,neg_y,full_reassociation,500,161803,12499707957760963292154304997093422074,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,neg_z,full_reassociation,500,161803,260535574235941635267023379938086971692,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,pos_x,full_reassociation,500,161803,16516057564435433268233559924221508116,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,pos_y,full_reassociation,500,161803,177547917705874438798416635619228241692,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,translation,pos_z,full_reassociation,500,161803,62228782074543114558009807843608046763,500,1.0,0.0,0.0,,false,ZERO_MEAN_D50
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_00,full_reassociation,500,161803,197106300331266047477200757965469758628,500,1.0,0.0112,0.04603039859908212,4.109857017775189,true,ELIGIBLE
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_01,full_reassociation,500,161803,108086437739506696541708797704815980880,500,1.0,0.0035,0.012770127340970773,3.648607811705935,true,ELIGIBLE
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_02,full_reassociation,500,161803,146898769404993770554175749027883352038,500,1.0,0.044800000000000006,0.1841215943963285,4.109857017775189,true,ELIGIBLE
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_03,full_reassociation,500,161803,19083141615497893503339855389366123707,500,1.0,0.0112,0.046030398599082124,4.10985701777519,true,ELIGIBLE
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_04,full_reassociation,500,161803,295628459758201111733863724371377373707,500,1.0,0.01,0.043632643917489826,4.363264391748983,true,ELIGIBLE
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_05,full_reassociation,500,161803,325808955200657194360880782979654577537,500,1.0,0.00058,0.0023397754375572874,4.034095581995323,true,ELIGIBLE
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_06,full_reassociation,500,161803,208435928929042825383942714182394410976,500,1.0,0.0116,0.04679550875114574,4.034095581995323,true,ELIGIBLE
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_07,full_reassociation,500,161803,287581357113642109122775482703088473747,500,1.0,0.0027,0.011312202785652647,4.189704735426906,true,ELIGIBLE
END_FACE_TRANSITION_ABSENT,1107,2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,translation,ico_08,full_reassociation,500,161803,231089529029121025248587951250806125563,500,1.0,0.0008200000000000001,0.0027463949771912785,3.3492621673064367,true,ELIGIBLE
