sweep,level,stress,geometry_seed,sensor_seed,configured_burst_length_frames,contaminated_measurement_count,clean_unchanged,open_control_contamination_zero,axial_only,burst_duration_valid,variance_unchanged,invariant_observations_unchanged,locked_anchor_delta,shared_burst_start_frame,shared_burst_sign,shared_sign_valid,nominal_measurement_sigma_m,injected_slip_distance_m,injected_slip_sigma,slip_sigma_valid,subhuber_valid,selected_axial_patch_ids,contaminated_measurement_ratio,stress_mechanism_valid
observation,O2,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O2,coherent_subhuber_slip,4003,111,20,2368,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_03|axial_patch_13|axial_patch_01|axial_patch_14|axial_patch_10|axial_patch_09|axial_patch_05|axial_patch_06|axial_patch_04|axial_patch_07|axial_patch_15|axial_patch_12|axial_patch_08|axial_patch_11|axial_patch_00|axial_patch_02,0.30833333333333335,True
observation,O3,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O3,coherent_subhuber_slip,4003,99,20,1065,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_06|axial_patch_01|axial_patch_12|axial_patch_08|axial_patch_10|axial_patch_04|axial_patch_02|axial_patch_00|axial_patch_07|axial_patch_11|axial_patch_09|axial_patch_14|axial_patch_15|axial_patch_05|axial_patch_03,0.138671875,True
observation,O3,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O3,coherent_subhuber_slip,4003,111,20,1114,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_03|axial_patch_13|axial_patch_01|axial_patch_14|axial_patch_10|axial_patch_09|axial_patch_05|axial_patch_06|axial_patch_04|axial_patch_07|axial_patch_15|axial_patch_12|axial_patch_08|axial_patch_11|axial_patch_00|axial_patch_02,0.14505208333333333,True
observation,O4,clean,4003,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O4,coherent_subhuber_slip,4003,99,20,301,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_06|axial_patch_01|axial_patch_12|axial_patch_08|axial_patch_10|axial_patch_04|axial_patch_02|axial_patch_00|axial_patch_07|axial_patch_11|axial_patch_09|axial_patch_14|axial_patch_15|axial_patch_05|axial_patch_03,0.03919270833333333,True
observation,O4,clean,4003,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O4,coherent_subhuber_slip,4003,111,20,289,True,True,True,True,True,True,True,17,1,True,0.02,0.03,1.5,True,True,axial_patch_03|axial_patch_13|axial_patch_01|axial_patch_14|axial_patch_10|axial_patch_09|axial_patch_05|axial_patch_06|axial_patch_04|axial_patch_07|axial_patch_15|axial_patch_12|axial_patch_08|axial_patch_11|axial_patch_00|axial_patch_02,0.03763020833333333,True
open_control,OC,clean,4127,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,coherent_subhuber_slip,4127,99,20,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,clean,4127,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,coherent_subhuber_slip,4127,111,20,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
geometry,L1,clean,4127,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
