sweep,median_axis_rmse_reduction,paired_mean_axis_rmse_reduction,bootstrap_ci_low,bootstrap_ci_high,positive_improvement_geometry_ratio,strong_translation_rmse_increase,orientation_rmse_rad_increase,trajectory_rmse_3d_increase,projected_vs_global_axis_advantage,projected_vs_global_strong_advantage,projected_vs_global_orientation_advantage
geometry,0.0037203874235445956,0.0036123829765253457,0.0027934027244416485,0.004789822228566078,1.0,0.0012966053641948337,4.918157225060913e-05,-0.0035981756438892808,3.795217040795327e-05,0.011484111743701463,0.007340801432220646
observation,0.0049259742630758455,0.004619532251151581,0.0038470729182318118,0.005703843330611147,1.0,0.00033628851238745843,0.0001301194539863581,-0.004890452260495427,3.6282132260522286e-05,0.02154189120822364,-0.001332624931255274
