attenuation_alpha,open_control_axis_rmse_relative_change,open_control_strong_translation_rmse_relative_change,open_control_orientation_rmse_rad_relative_change,open_control_trajectory_rmse_3d_relative_change,clean_axis_rmse_relative_change,clean_strong_translation_rmse_relative_change,clean_orientation_rmse_rad_relative_change,clean_trajectory_rmse_3d_relative_change,geometry_severe_axis_reduction,geometry_positive_ratio,geometry_severe_strong_translation_rmse_relative_change,geometry_severe_orientation_rmse_rad_relative_change,geometry_severe_trajectory_rmse_3d_relative_change,observation_severe_axis_reduction,observation_positive_ratio,observation_severe_strong_translation_rmse_relative_change,observation_severe_orientation_rmse_rad_relative_change,observation_severe_trajectory_rmse_3d_relative_change,minimum_sweep_axis_reduction,solver_failure_count,feasible,selected
0.0,-4.2578477259064484e-06,0.028333347327095835,-2.5343344904182628e-05,0.01818733319931061,4.320306318869686,0.22776524507021612,0.00028344702782434974,3.467787630635172,-0.4863840866358601,0.0,0.44085587361674167,0.00014226334720461218,0.494595257259718,-0.17213352550928923,0.1,0.1285534510246703,0.003081134536425196,0.17136444527363717,-0.4863840866358601,0,False,False
0.25,-8.761945699262455e-06,0.019554352975799882,-2.6366435187727768e-05,0.01229628231945756,1.3477530098842412,0.04736478652554187,0.0001732547979396799,1.0703764047351711,0.018705697168457498,0.7,0.06090046424721943,0.0005452283628362268,-0.017807532108525956,0.05266912176131179,0.9,0.01597235242704436,0.0010968055966324932,-0.052185741086574866,0.018705697168457498,0,False,False
0.5,-4.3370157262007466e-05,0.011036815587030966,-1.6720770842730947e-05,0.006891849082520134,0.5393599985696091,0.016380867792925274,4.553195505868399e-05,0.4120472198233077,0.011045308811181157,0.8,0.01920251530321663,0.0003852406503377868,-0.01072111302970929,0.023334082441182923,0.9,0.005011834859184775,0.00043989064490867927,-0.022992766099434,0.011045308811181157,0,False,False
0.75,-3.7067256762402995e-05,0.004922976552517149,-1.0349078551511037e-05,0.0030783867226596043,0.13672719166970893,0.004190698544455444,1.691326022489585e-05,0.09796880080727333,0.009028313153178459,1.0,0.004098933458665798,5.7917240607171334e-05,-0.008963808367435442,0.011303181661868203,1.0,0.0011264542426997065,0.00018725517076883613,-0.011205358473365299,0.009028313153178459,0,False,False
0.9,-2.1299959876148123e-05,0.001800501557958287,-4.3718733357983895e-06,0.001117710090972793,0.02267821552871251,0.0007582415272620532,4.237751035192165e-08,0.016301155152776612,0.0045052774373616255,1.0,0.0002595642165655935,9.974296605237407e-06,-0.004375056952412441,0.004751410079590944,1.0,0.00023459383486786072,9.288054878151137e-05,-0.004712288900478492,0.0045052774373616255,0,True,True
