sweep_type,metric_name,target,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,bootstrap_blocks,bootstrap_repetitions,median_per_geometry_kendall_tau,positive_tau_geometry_ratio,per_geometry_kendall_tau,paired_monotonic_rate,weak_alignment_severe_median,weak_alignment_severe_p10,weak_alignment_severe_p90,independent_sensor_runs
geometry,ODI_trans,severity,1.0,nan,nan,1,5000,1.0,1.0,101:1,1.0,0.0,0.0,0.0,4
observation,ODI_trans,severity,0.7999999999999999,nan,nan,1,5000,0.6666666666666669,1.0,101:0.666666667,0.6666666666666666,0.0,0.0,0.0,4
