sweep_type,level,independent_sensor_runs,geometry_axial_support_score,realized_axial_point_fraction,ODI_trans_median,axis_information_normalized_median,weak_trans_subspace_alignment_median,mean_inverse_axis_information,low_axis_information_ratio,longest_low_information_duration_s,mean_final_axis_error_squared
geometry,L1,1,8.791496296343741,0.7864583333333334,0.058143217670126424,197.89833264590305,0.0,0.005045740098329878,1.0,4.0,1.1442999230789201e-05
geometry,L2,1,7.15920648760636,0.6815104166666667,0.12257789129847751,173.209534027252,0.0,0.008186365981737716,0.975,2.1,5.062411658239331e-06
geometry,L3,1,3.591589894806395,0.4811197916666667,0.17802004449994102,90.44264408723427,0.0,0.017737148524792544,1.0,4.0,2.7922098876604995e-05
geometry,L4,1,1.3252527282106623,0.23776041666666667,0.32027460040405176,34.307422262643556,0.0,0.037174462386050516,1.0,4.0,0.0006761816385242887
geometry,OC,1,0.0,0.0,0.06789336241819022,246.146052788811,0.0,0.004080900380476871,0.05,0.10000000000000009,3.3294932938822163e-06
observation,O1,1,9.151884361089826,0.8334635416666667,0.057317342737119636,188.7224336146269,0.0,0.0053476550081728485,1.0,4.0,3.0275243411046754e-06
observation,O2,1,9.151884361089826,0.6596354166666667,0.03362805141574887,156.81748046290443,0.0,0.006436509778979386,1.0,4.0,8.763010486510847e-07
observation,O3,1,9.151884361089826,0.323828125,0.17131214581331633,79.50759990959503,0.0,0.012848189909116563,1.0,4.0,1.0545686677482216e-05
observation,O4,1,9.151884361089826,0.09010416666666667,0.407304026102168,20.52799567741765,0.0,0.05324212513522404,1.0,4.0,2.737837162960325e-05
