axis_mae,axis_rmse,experiment_family,final_axis_error,final_axis_error_abs,final_axis_error_signed,final_axis_error_squared,final_cross_axis_error,final_cross_error,final_translation_error,geometry_seed,level,max_axis_error_abs,mean_axis_error,mean_cross_error,motion_profile_id,phase,process_noise_checksum,process_noise_seed_resolved,process_seed,scene_family,sensor_seed,sequence_id,sweep_type,trajectory_path,trajectory_rmse_3d
0.003650724089081772,0.004674169045556783,stage1c_geometry,0.005287298738238633,0.005287298738238633,0.005287298738238633,2.7955527947379837e-05,0.007265167550085169,0.007265167550085169,0.008985443087471557,101,L3,0.01249843980123222,0.003650724089081772,0.0038828983017780484,stage1c_confirmatory_m1,quick,afea8ed5e2aee71dbda34712d3a477ee26854716481d1ef4bef9c795b66f0c73,13119284158483706132,1002,ST,11,stage1c_quick_geometry_L3_G101,geometry,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_geometry_L3_G101/sensor_011/process_1002.tum,0.006486720603493924
0.003652438719475762,0.004675226469162505,stage1c_geometry,0.005279078945314097,0.005279078945314097,0.005279078945314097,2.7868674510858603e-05,0.00726839289305925,0.00726839289305925,0.008983218229495086,101,L3,0.012507834864517786,0.003652438719475762,0.0038824478759643746,stage1c_confirmatory_m1,quick,6182a21719ea9ea60d3c1f9ad31497242822f616dc4268e2292ed1650d32b57b,1459477216484999267,1003,ST,11,stage1c_quick_geometry_L3_G101,geometry,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_geometry_L3_G101/sensor_011/process_1003.tum,0.006487407293896699
0.006858879959480898,0.009820652212539277,stage1c_geometry,0.026037420697857527,0.026037420697857527,-0.026037420697857527,0.0006779472765972196,0.012823912507406028,0.012823912507406028,0.029024128041938217,101,L4,0.026037420697857527,0.006858879959480898,0.0032039706041734027,stage1c_confirmatory_m1,quick,9bf042032fb0db5f9f19a535a3a50e6f28ccd086bc122f3d2299ca127140a633,5298716704492741094,1001,ST,11,stage1c_quick_geometry_L4_G101,geometry,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_geometry_L4_G101/sensor_011/process_1001.tum,0.010575968843615422
0.0068596967388046045,0.00981729800991243,stage1c_geometry,0.025937326845937747,0.025937326845937747,-0.025937326845937747,0.0006727449239130029,0.01280983481215098,0.01280983481215098,0.028928131495615093,101,L4,0.025937326845937747,0.0068596967388046045,0.0032038466373401782,stage1c_confirmatory_m1,quick,afea8ed5e2aee71dbda34712d3a477ee26854716481d1ef4bef9c795b66f0c73,13119284158483706132,1002,ST,11,stage1c_quick_geometry_L4_G101,geometry,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_geometry_L4_G101/sensor_011/process_1002.tum,0.01057255498721554
0.006860056203550044,0.009825855624985771,stage1c_geometry,0.02603560475699851,0.02603560475699851,-0.02603560475699851,0.0006778527150626434,0.012820022959932467,0.012820022959932467,0.0290207805504235,101,L4,0.02603560475699851,0.006860056203550044,0.003204235064612172,stage1c_confirmatory_m1,quick,6182a21719ea9ea60d3c1f9ad31497242822f616dc4268e2292ed1650d32b57b,1459477216484999267,1003,ST,11,stage1c_quick_geometry_L4_G101,geometry,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_geometry_L4_G101/sensor_011/process_1003.tum,0.010580825509690028
0.002085771352812854,0.0026783831761415656,stage1c_observation,0.001732643712429649,0.001732643712429649,0.001732643712429649,3.002054234221996e-06,0.0027929376343736336,0.0027929376343736336,0.003286724032181982,101,O1,0.008014109695892557,0.002085771352812854,0.0037272554914761238,stage1c_confirmatory_m1,quick,0400527f568126b45c090fa38d08cbec10d517c6f6858537d5f97b5565eb7ca8,945371169892452128,1001,ST,11,stage1c_quick_observation_O1_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O1_G101/sensor_011/process_1001.tum,0.004962557633945408
0.0020848745521340776,0.0026768536526996104,stage1c_observation,0.0017381597389096726,0.0017381597389096726,0.0017381597389096726,3.021199277966541e-06,0.0027921910935557815,0.0027921910935557815,0.003289001426101663,101,O1,0.008011139866081152,0.0020848745521340776,0.0037276281706445265,stage1c_confirmatory_m1,quick,c03469ef8f447043ee8b855f175048f3ac8a898b20fc27e2d8179f49affac0ee,3798217740690397435,1002,ST,11,stage1c_quick_observation_O1_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O1_G101/sensor_011/process_1002.tum,0.004961949970964649
0.0020841736517011127,0.0026762355163611833,stage1c_observation,0.001749091052840157,0.001749091052840157,0.001749091052840157,3.059319511125489e-06,0.0027924366029655643,0.0027924366029655643,0.003294999498134613,101,O1,0.008012654644684147,0.0020841736517011127,0.003727478845907044,stage1c_confirmatory_m1,quick,3ae9e764fb185eec5d7a8dc22d6ed6ced49a41817f2b0e3044cfe322e971b9b3,10057915280879369222,1003,ST,11,stage1c_quick_observation_O1_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O1_G101/sensor_011/process_1003.tum,0.004961579707535693
0.0019261044548738837,0.00252918805163619,stage1c_observation,0.0009474576815513558,0.0009474576815513558,-0.0009474576815513558,8.976760583306703e-07,0.0031074185677406195,0.0031074185677406195,0.003248649906264114,101,O2,0.006503790678269894,0.0019261044548738837,0.0033475831848810865,stage1c_confirmatory_m1,quick,0400527f568126b45c090fa38d08cbec10d517c6f6858537d5f97b5565eb7ca8,945371169892452128,1001,ST,11,stage1c_quick_observation_O2_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O2_G101/sensor_011/process_1001.tum,0.0045355355108412125
0.0019239610567824584,0.002526097820193956,stage1c_observation,0.0009352885171409753,0.0009352885171409753,-0.0009352885171409753,8.747646102957644e-07,0.0031074369114139503,0.0031074369114139503,0.0032451392525920417,101,O2,0.006496048291602552,0.0019239610567824584,0.0033478119885808357,stage1c_confirmatory_m1,quick,c03469ef8f447043ee8b855f175048f3ac8a898b20fc27e2d8179f49affac0ee,3798217740690397435,1002,ST,11,stage1c_quick_observation_O2_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O2_G101/sensor_011/process_1002.tum,0.00453402331380679
0.0019225973061374664,0.0025254074676600534,stage1c_observation,0.0009254525797288693,0.0009254525797288693,-0.0009254525797288693,8.564624773268192e-07,0.0031081270790115235,0.0031081270790115235,0.0032429795584634083,101,O2,0.00649177144516111,0.0019225973061374664,0.003347848528507607,stage1c_confirmatory_m1,quick,3ae9e764fb185eec5d7a8dc22d6ed6ced49a41817f2b0e3044cfe322e971b9b3,10057915280879369222,1003,ST,11,stage1c_quick_observation_O2_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O2_G101/sensor_011/process_1003.tum,0.004533703391118444
0.0026258741478122293,0.0036374279120926383,stage1c_observation,0.0032357191231824345,0.0032357191231824345,0.0032357191231824345,1.0469878244128503e-05,0.0030108507730309355,0.0030108507730309355,0.004419853009047867,101,O3,0.01011532959526562,0.0026258741478122293,0.0025822493668932597,stage1c_confirmatory_m1,quick,0400527f568126b45c090fa38d08cbec10d517c6f6858537d5f97b5565eb7ca8,945371169892452128,1001,ST,11,stage1c_quick_observation_O3_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O3_G101/sensor_011/process_1001.tum,0.004701738736509398
0.002626089182613464,0.0036366349186414968,stage1c_observation,0.0032476373015022375,0.0032476373015022375,0.0032476373015022375,1.0547148042108736e-05,0.0030113993183434815,0.0030113993183434815,0.004428958556661862,101,O3,0.010113520115638153,0.002626089182613464,0.0025821607943856645,stage1c_confirmatory_m1,quick,c03469ef8f447043ee8b855f175048f3ac8a898b20fc27e2d8179f49affac0ee,3798217740690397435,1002,ST,11,stage1c_quick_observation_O3_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O3_G101/sensor_011/process_1002.tum,0.004701094572195556
0.002626398491931259,0.0036341826971517813,stage1c_observation,0.0032588393250065906,0.0032588393250065906,0.0032588393250065906,1.0620033746209411e-05,0.003011066430636457,0.003011066430636457,0.004436953323612407,101,O3,0.01011238225094857,0.002626398491931259,0.0025820506210301212,stage1c_confirmatory_m1,quick,3ae9e764fb185eec5d7a8dc22d6ed6ced49a41817f2b0e3044cfe322e971b9b3,10057915280879369222,1003,ST,11,stage1c_quick_observation_O3_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O3_G101/sensor_011/process_1003.tum,0.004699133405947593
0.007105329037753044,0.009383988915224363,stage1c_observation,0.00522047581343088,0.00522047581343088,0.00522047581343088,2.7253367718616812e-05,0.0065086872121462155,0.0065086872121462155,0.008343642906079602,101,O4,0.02557549280605187,0.007105329037753044,0.002717547019235679,stage1c_confirmatory_m1,quick,0400527f568126b45c090fa38d08cbec10d517c6f6858537d5f97b5565eb7ca8,945371169892452128,1001,ST,11,stage1c_quick_observation_O4_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O4_G101/sensor_011/process_1001.tum,0.009883245343129628
0.007103058246161867,0.009381738152851912,stage1c_observation,0.0052296033095480254,0.0052296033095480254,0.0052296033095480254,2.734875077523566e-05,0.006508704467143542,0.006508704467143542,0.008349370312535548,101,O4,0.025576923179965405,0.007103058246161867,0.0027174487266370144,stage1c_confirmatory_m1,quick,c03469ef8f447043ee8b855f175048f3ac8a898b20fc27e2d8179f49affac0ee,3798217740690397435,1002,ST,11,stage1c_quick_observation_O4_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O4_G101/sensor_011/process_1002.tum,0.009881075826032829
0.007105747404488855,0.009384463379250961,stage1c_observation,0.005247189380511941,0.005247189380511941,0.005247189380511941,2.7532996394957285e-05,0.006509428349395209,0.006509428349395209,0.008360960102217168,101,O4,0.025576951928751868,0.007105747404488855,0.0027175124029062345,stage1c_confirmatory_m1,quick,3ae9e764fb185eec5d7a8dc22d6ed6ced49a41817f2b0e3044cfe322e971b9b3,10057915280879369222,1003,ST,11,stage1c_quick_observation_O4_G101,observation,results/metric_redesign_stage1c/quick/stage1c_quick_v1/trajectories/stage1c_quick_observation_O4_G101/sensor_011/process_1003.tum,0.009883695396972264
