planned_trial_id,snapshot_id,condition,backend,solver_failure,failure_classification,finite_output,result_path,result_sha256
fixture-audit-v1/identity/open3d_point_to_plane,fixture-audit-v1/identity,FIXTURE_IDENTITY,open3d_point_to_plane,False,NONE,True,raw_results/6eb862d2dc4253e82abb7be44edb788d1893bdf37317d73ccea5fb7897cc12a5.json,f246103881723e7a4292bcbe4d4baa4bd542ac8cb1f6e64b76de52a491c43c52
fixture-audit-v1/identity/pcl_point_to_plane,fixture-audit-v1/identity,FIXTURE_IDENTITY,pcl_point_to_plane,False,NONE,True,raw_results/1cd8274d364f7d1e86b695292cf65b607dfcbc333c397167d12aedc5c697fbe0.json,38c3b332abd6c90ac9be28b1e168bf463a25103e2bf9aa3c29a28c425712a28a
fixture-audit-v1/no-correspondence/open3d_point_to_plane,fixture-audit-v1/no-correspondence,FIXTURE_NO_CORRESPONDENCE,open3d_point_to_plane,True,NO_CORRESPONDENCES,True,raw_results/72dfbd85ebe9817849c211af9db6a11e9ee9ab12f9212d5f15fd433ca57c8722.json,55f0e273536928b41da7b897ed973392b851c4f4b67b64f49529ad7bad2ca14b
fixture-audit-v1/no-correspondence/pcl_point_to_plane,fixture-audit-v1/no-correspondence,FIXTURE_NO_CORRESPONDENCE,pcl_point_to_plane,True,NO_CORRESPONDENCES,True,raw_results/d9f058779d456ce4bf2e30929e91be452ae0c269c6b09bc3d017cfbaafdf9757.json,f9d982b2a41e81df548234e3bc175f0861e6ae98508f53f7b1c6040f8970b41a
fixture-audit-v1/nonidentity-reference/open3d_point_to_plane,fixture-audit-v1/nonidentity-reference,FIXTURE_NONIDENTITY_REFERENCE,open3d_point_to_plane,False,NONE,True,raw_results/47683411aaf0a74f0afae9a46ba1b3f93b9d132fd3356a78801dce9d4f7509ea.json,bfdfbf68e934cb234f6ad52425b88dc837aaff41db4c4eb756d47a915342a991
fixture-audit-v1/nonidentity-reference/pcl_point_to_plane,fixture-audit-v1/nonidentity-reference,FIXTURE_NONIDENTITY_REFERENCE,pcl_point_to_plane,False,NONE,True,raw_results/c23e0d0edb1b97e7453099a20dfc227394f8523817df1f6df798e222b896d724.json,839883b42b5882c12a3f309a81c2bbc1bdedffd2e9bdc7e898734a9b66cb8920
